czech,english,grammar_id
cvaknutí,click,
milý,sweet,
miláček,sweetheart,
úředník,clerk,
klon,clone,
volný,loose,
přežít,survive,
spáchat,commit,
závazek,commitment,
litr,litre,
surfovat,surf,
surfování,surfing,
propuštění,release,
relaxovat,relax,
uvolněný,relaxed,
vtipný,comic,
komik,comic,
příjmení,surname,
pohodlí,comfort,
komfortní,comfortable,
živý,lively,
podnikatelka,businesswoman,
zatížení,load,
hřeben,comb,
místní,local,
sloupec,column,
barvitý,colourful,
překvapení,surprise,
překvapený,surprised,
překvapující,surprising,
zámek,lock,
logika,logic,
logický,logical,
cola,cola,
poplach,alarm,
litovat,regret,
výbor,committee,
jasně,clearly,
nákupní centrum,mall,
spravovat,manage,
Nebudu vařit.,I'm not going to cook.,40
Nebude se učit. (on),He isn't going to study.,40
Nebude zpívat. (ona),She isn't going to sing.,40
Nepůjdeme do kina.,We aren't going to go to the cinema.,40
Nebudou cestovat.,They aren't going to travel.,40
Nebude pršet.,It isn't going to rain.,40
Nebudeš číst.,You aren't going to read.,40
Moji rodiče nebudou pracovat.,My parents aren't going to work.,40
