czech,english,block_id,grammar_chunk_id
v pořádku,alright,,
zajímat,interest,,
břicho,belly,,
steak,steak,,
uvést,state,,
prohlášení,statement,,
odhalit,reveal,,
inteligence,intelligence,,
unie,union,,
shledání,reunion,,
napadnout,invade,,
dobře,alright,,
naplánovat,budget,,
vrátit,return,,
žárovka,bulb,,
nebezpečí,danger,,
inspirovat,inspire,,
inspirace,inspiration,,
žebrat,beg,,
sporák,stove,,
popis,description,,
prokletí,curse,,
narovnat,right,,
kari,curry,,
Jaký jsem byl?,What was I like?,50,46
Kde jsi byl?,Where were you?,50,46
Proč byl doma?,Why was he at home?,50,46
Jak se cítila?,How was she feeling?,50,46
Jaké to bylo?,What was it like?,50,46
Kde jsme byli?,Where were we?,50,46
Kdy jste byli volní?,When were you free?,50,46
Kde byli?,Where were they?,50,46
Jaký jsem byl podle tebe jako učitel?,What was I like as a teacher?,,46
Kde jsi byl po práci?,Where were you after work?,,46
Proč byl včera doma?,Why was he at home yesterday?,,46
Jak se cítila po dlouhé cestě?,How was she feeling after the long journey?,,46
Jaké to bylo včera u vás?,What was it like where you were yesterday?,,46
Kde jsme byli před začátkem koncertu?,Where were we before the concert started?,,46
Kdy jste byli minulý týden volní?,When were you free last week?,,46
Kde byli po hodině?,Where were they after the lesson?,,46
