czech,english,
nůž,knife,
velký,large,
chyba,mistake,
oceán,ocean,
brzy,early,
rostlina,plant,
zpívat,sing,
opakovat,repeat,
speciální,special,
rozlobený,angry,
článek,article,
stavět,build,
špinavý,dirty,
kromě,except,
slavný,famous,
plyn,gas,
hotel,hotel,
levný,cheap,
rozhovor,interview,
pěkný,nice,
připravit,prepare,
vězení,prison,
zdát se,seem,
divný,strange,
vlak,train,
účet,account,
pohodlný,comfortable,
poškození,damage,
prach,dust,
cvičení,exercise,
oblíbený,favourite,
vtip,joke,
zpráva,message,
malovat,paint,
věda,science,
vážný,serious,
utrácet,spend,
unavený,tired,
špatný,wrong,
množství,amount,
Můžu plavat.,I can swim.,21
Můžeš plavat?,Can you swim?,21
On mohl přijít včera.,He could come yesterday.,21
Mohl jsi přijít?,Could you come?,21
Musím pracovat.,I must work.,21
Musíš pracovat?,Must you work?,21
Musím vstávat brzy.,I have to get up early.,21
Musíš vstávat brzy?,Do you have to get up early?,21
Nemůžu zpívat.,I can't sing.,21
Nemůžeš zpívat?,Can't you sing?,21
Nesmíš odejít.,You mustn't leave.,21
Nesmím odejít?,Mustn't I leave?,21
