czech,english,grammar_id
spolužák,schoolmate,
historický,historical,
dlužno,owing,
pánev,saucepan,
bolestivé,painful,
titulek,headline,
atletický,athletic,
přepracování,overwork,
historický,historic,
poměr,proportion,
zásobník,bin,
historik,historian,
učitel,schoolteacher,
sken,scan,
účtovat,bill,
předškolní,preschool,
škrábnutí,scratch,
obvykle,generally,
generovat,generate,
zasedání,session,
štědrý,generous,
prostý,plain,
sloužit,service,
genetický,genetic,
genetika,genetics,
geneticky,genetically,
umístit,place,
stranou,aside,
server,server,
jáma,pit,
zahanbený,ashamed,
gentleman,gentleman,
gen,gene,
potenciální,potential,
platforma,platform,
zahrádkářství,gardening,
plastový,plastic,
zasadit,plant,
oděv,garment,
hrnčířství,pottery,
"Dům byl právě prodán.","The house has been sold recently.",65
"Dopis byl doručen.","The letter has been delivered.",65
"Auto bylo opraveno.","The car has been repaired.",65
"Obraz byl vystaven v galerii.","The painting has been exhibited in the gallery.",65
"Jídlo bylo snědeno.","The food has been eaten.",65
"Okno bylo rozbito.","The window has been broken.",65
"Test byl dokončen všemi studenty.","The test has been completed by all students.",65
"Kniha byla přeložena do angličtiny.","The book has been translated into English.",65
