czech,english,grammar_chunk_id,block_id
nápad,idea,,
druh,kind,,
udělat,make,,
mír,peace,,
důležitý,important,,
populární,popular,,
správně,right,,
tak,so,,
čekat,wait,,
znovu,again,,
dokument,document,,
oheň,fire,,
dát,give,,
šance,chance,,
informace,information,,
často,often,,
preferovat,prefer,,
vložit,put,,
kámen,stone,,
takový,such,,
myslet,think,,
rozumět,understand,,
navštívit,visit,,
kolem,around,,
volat,call,,
řezat,cut,,
večeře,dinner,,
dolů,down,,
vysvětlit,explain,,
dostat,get,,
zajímavý,interesting,,
dlouhý,long,,
pohybovat se,move,,
ven,out,,
stránka,page,,
dosáhnout,reach,,
pod,under,,
do,into,,
z,out of,,
skrz,through,,
Já jsem?,Am I?,5,10
Ty jsi?,Are you?,5,10
On je?,Is he?,5,10
Ona je?,Is she?,5,10
Ono je?,Is it?,5,10
My jsme?,Are we?,5,10
Vy jste?,Are you?,5,10
Oni jsou?,Are they?,5,10
"Ano, jsem.","Yes, I am.",6,11
"Ano, on je.","Yes, he is.",6,11
"Ano, ona je.","Yes, she is.",6,11
"Ano, my jsme.","Yes, we are.",6,11
"Ne, nejsem.","No, I'm not.",6,11
"Ne, on není.","No, he's not.",6,11
"Ne, ona není.","No, she's not.",6,11
"Ne, my nejsme.","No, we're not.",6,11
Jsem tlustý?,Am I fat?,5,
Jsi smutný?,Are you sad?,5,
Je velký?,Is he big?,5,
Je malá?,Is she small?,5,
Je to rychlé?,Is it fast?,5,
Jsme mladí?,Are we young?,5,
Jste staří?,Are you old?,5,
Jsou silní?,Are they strong?,5,
Jsem hladový?,Am I hungry?,5,
Jsi unavený?,Are you tired?,5,
Je přátelský?,Is he friendly?,5,
Je naštvaná?,Is she angry?,5,
Je to snadné?,Is it easy?,5,
Jsme chudí?,Are we poor?,5,
Jste krásní?,Are you beautiful?,5,
Jsou pomalí?,Are they slow?,5,
Jsem čistý?,Am I clean?,5,
Jsi hubený?,Are you thin?,5,
Je dobrý?,Is he good?,5,
Je připravená?,Is she ready?,5,
Je to obtížné?,Is it difficult?,5,
Jsme opatrní?,Are we careful?,5,
Jste schopní?,Are you able?,5,
Jsou noví?,Are they new?,5,


