czech,english,block_id,grammar_chunk_id
opékat,roast,,
pár,couple,,
naznačit,indicate,,
klepání,knock,,
haraburdí,junk,,
plavba,cruise,,
razítko,stamp,,
juniorský,junior,,
strategie,strategy,,
strava,diet,,
koruna,crown,,
poklop,cover,,
zemřít,die,,
nést,bear,,
nedostatek,lack,,
přeplněný,crowded,,
kilometr,kilometre,,
řetězec,string,,
pevnost,strength,,
znalost,knowledge,,
tvůrčí,creative,,
nezávislost,independence,,
deník,diary,,
vytvořit,create,,
já byl,I was,47,43
ty jsi byl,you were,47,43
on byl,he was,47,43
ona byla,she was,47,43
ono bylo,it was,47,43
my jsme byli,we were,47,43
vy jste byli,you were,47,43
oni byli,they were,47,43
Včera jsem byl připravený začít lekci.,I was ready to start the lesson yesterday.,,43
Po práci jsi byl unavený.,You were tired after work.,,43
On byl doma se svým bratrem.,He was at home with his brother.,,43
Ona byla šťastná kvůli výsledku.,She was happy about the result.,,43
Včera bylo venku opravdu chladno.,It was really cold outside yesterday.,,43
Na schůzku jsme přišli pozdě.,We were late for the meeting.,,43
Minulý týden jste byli velmi zaneprázdnění.,You were very busy last week.,,43
Byli venku před restaurací.,They were outside the restaurant.,,43
