id,name,note,sort_order
13,"přítomný čas prostý - zápor","<p>Pro tvoření záporu v přítomném čase prostém používáme pomocné sloveso <b>do</b> (pro I, you, we, they) nebo <b>does</b> (pro he, she, it) a základní tvar slovesa s negací <b>not</b>.</p><br /><p><span class='inline-block w-44 pl-2'>já nepracuji</span><b>I do not work</b></p><p><span class='inline-block w-44 pl-2'>ty nepracuješ</span><b>you do not work</b></p><p><span class='inline-block w-44 pl-2'>on nepracuje</span><b>he does not work</b></p><p><span class='inline-block w-44 pl-2'>my nepracujeme</span><b>we do not work</b></p><p><span class='inline-block w-44 pl-2'>vy nepracujete</span><b>you do not work</b></p><p><span class='inline-block w-44 pl-2'>oni nepracují</span><b>they do not work</b></p><br /><p>Běžně se používá zkrácený tvar <b>don't</b> (pro I, you, we, they) nebo <b>doesn't</b> (pro he, she, it).</p><br /><p><span class='inline-block w-44 pl-2'>já nepracuji</span><b>I don't work</b></p><p><span class='inline-block w-44 pl-2'>ty nepracuješ</span><b>you don't work</b></p><p><span class='inline-block w-44 pl-2'>on nepracuje</span><b>he doesn't work</b></p><p><span class='inline-block w-44 pl-2'>my nepracujeme</span><b>we don't work</b></p><p><span class='inline-block w-44 pl-2'>vy nepracujete</span><b>you don't work</b></p><p><span class='inline-block w-44 pl-2'>oni nepracují</span><b>they don't work</b></p>",13
14,"pravidlo jednoho záporu","<p>V angličtině se obvykle používá pravidlo jednoho záporu, což znamená, že v jedné větě by měl být pouze jeden zápor. Pokud použijeme více záporů, může to vést k nejasnostem a dvojímu zápornému významu.</p><br /><p><span class='inline-block w-44 pl-2'>Nemám jablko.</span><b>I don't have an apple.</b></p><p><span class='inline-block w-44 pl-2'>Nemám jablko.</span><b>I don't have any apple.</b></p><p><span class='inline-block w-44 pl-2'>Nemám jablko.</span><b>I have no apple.</b></p>",14
15,"zvratná zájmena","<p><b>Zvratná zájmena</b> se používají, když podmět a předmět věty jsou stejné osoby nebo věci. Tvoří se přidáním přípony <b>-self</b> pro jednotné číslo a <b>-selves</b> pro množné číslo k osobním zájmenům.</p><br /><p><span class='inline-block w-32 pl-2'>já sám</span><b>myself</b></p><p><span class='inline-block w-32 pl-2'>ty sám</span><b>yourself</b></p><p><span class='inline-block w-32 pl-2'>on sám</span><b>himself</b></p><p><span class='inline-block w-32 pl-2'>ona sama</span><b>herself</b></p><p><span class='inline-block w-32 pl-2'>to samo</span><b>itself</b></p><p><span class='inline-block w-32 pl-2'>my sami</span><b>ourselves</b></p><p><span class='inline-block w-32 pl-2'>vy sami</span><b>yourselves</b></p><p><span class='inline-block w-32 pl-2'>oni sami</span><b>themselves</b></p>",15
16,"zájmena v předmětu","<p><b>Zájmena v předmětu</b> se používají jako předmět věty, tedy pro označení osoby nebo věci, která je ovlivněna dějem.</p><br /><p><span class='inline-block w-32 pl-2'>já</span><b>me</b></p><p><span class='inline-block w-32 pl-2'>ty</span><b>you</b></p><p><span class='inline-block w-32 pl-2'>on</span><b>him</b></p><p><span class='inline-block w-32 pl-2'>ona</span><b>her</b></p><p><span class='inline-block w-32 pl-2'>to</span><b>it</b></p><p><span class='inline-block w-32 pl-2'>my</span><b>us</b></p><p><span class='inline-block w-32 pl-2'>vy</span><b>you</b></p><p><span class='inline-block w-32 pl-2'>oni</span><b>them</b></p>",16
17,"přítomný čas prostý - otázky ano/ne","<p>Pro tvoření otázek v přítomném čase prostém používáme pomocné sloveso <b>do</b> (pro I, you, we, they) nebo <b>does</b> (pro he, she, it) a základní tvar slovesa.</p><br /><p><span class='inline-block w-32 pl-2'>Pracuji?</span><b>Do I work?</b></p><p><span class='inline-block w-32 pl-2'>Pracuješ?</span><b>Do you work?</b></p><p><span class='inline-block w-32 pl-2'>Pracuje?</span><b>Does he/she/it work?</b></p><p><span class='inline-block w-32 pl-2'>Pracujeme?</span><b>Do we work?</b></p><p><span class='inline-block w-32 pl-2'>Pracujete?</span><b>Do you work?</b></p><p><span class='inline-block w-32 pl-2'>Pracují?</span><b>Do they work?</b></p><br /><p>Pro tvoření otázek v negativním tvaru se používá <b>do you not</b> etc.</p><br /><p><span class='inline-block w-32 pl-2'>Nepracuji?</span><b>Do I not work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracuješ?</span><b>Do you not work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracuje?</span><b>Does he/she/it not work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracujeme?</span><b>Do we not work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracujete?</span><b>Do you not work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracují?</span><b>Do they not work?</b></p><br /><p>Běžněji se ale používají zkrácené tvary <b>don't you</b> etc.</p><br /><p><span class='inline-block w-32 pl-2'>Nepracuji?</span><b>Don't I work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracuješ?</span><b>Don't you work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracuje?</span><b>Doesn't he/she/it work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracujeme?</span><b>Don't we work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracujete?</span><b>Don't you work?</b></p><p><span class='inline-block w-32 pl-2'>Nepracují?</span><b>Don't they work?</b></p><br /><p>Obvykle se tyto otázky jen ano/ne, ale i použitím slovesa <b>do.</b></p><br /><p><span class='inline-block w-32 pl-2'>Ano, pracuji.</span><b>Yes, I do.</b></p><p><span class='inline-block w-32 pl-2'>Ano, pracuje.</span><b>Yes, he/she/it does.</b></p><p><span class='inline-block w-32 pl-2'>Ne, nepracuji.</span><b>Ne, I don't.</b></p><p><span class='inline-block w-32 pl-2'>Ne, nepracuje.</span><b>No, he/she/it doesn't.</b></p>",17
18,"přítomný čas prostý - otázky s tázacím zájmenem","<p>Pro tvoření otázek s tázacím zájmenem v přítomném čase prostém používáme tázací zájmena (what, where, when, why, who, how) následovaná pomocným slovesem <b>do</b> (pro I, you, we, they) nebo <b>does</b> (pro he, she, it) a základním tvarem slovesa. Záporné tvary otázek se tvoří stejně jako u předchozího příkladu.</p><br /><p><span class='inline-block w-32 pl-2'>Co děláš?</span><b>What do you do?</b></p><p><span class='inline-block w-32 pl-2'>Co neděláš?</span><b>What do you not do?</b></p><p><span class='inline-block w-32 pl-2'>Co neděláš?</span><b>What don't you do?</b></p>",18
19,"stupňování přídavných jmen","<p><b>Stupňování přídavných jmen</b> (comparison of adjectives) v angličtině:</p><br /><p><b>1. Stupňování pomocí -er/-est:</b> Krátká přídavná jména tvoří 2. stupeň přidáním -er  a 3. stupeň přidáním -est.</p><br /><p><span class='inline-block w-44 pl-2'>velký</span><b>big</b></p><p><span class='inline-block w-44 pl-2'>větší</span><b>bigger</b></p><p><span class='inline-block w-44 pl-2'>největší</span><b>biggest</b></p><br /><p><b>2. Stupňování pomocí more/most:</b> Dlouhá přídavná jména tvoří 2. stupeň s 'more' a 3. stupeň s 'most'.</p><br /><p><span class='inline-block w-44 pl-2'>zajímavý</span><b>interesting</b></p><p><span class='inline-block w-44 pl-2'>více zajímavý</span><b>more interesting</b></p><p><span class='inline-block w-44 pl-2'>nejvíce zajímavý</span><b>the most interesting</b></p><br /><p><b>3. Stupňování pomocí less/least:</b> Pro vyjádření menší míry použijeme 'less' a 'least'.</p><br /><p><span class='inline-block w-44 pl-2'>zajímavý</span><b>interesting</b></p><p><span class='inline-block w-44 pl-2'>méně zajímavý</span><b>less interesting</b></p><p><span class='inline-block w-44 pl-2'>nejméně zajímavý</span><b>the least interesting</b></p>",19
20,"rozkazovací způsob","<p><b>Rozkazovací způsob</b> (imperative mood) se v angličtině tvoří většinou použitím základního tvaru slovesa bez podmětu.</p><br /><p><span class='inline-block w-44 pl-2'>Jdi domů.</span><b>Go home.</b></p>",20
21,"modální slovesa","<p><b>Modální slovesa</b> (modal verbs) jsou pomocná slovesa, která vyjadřují schopnost, možnost, povinnost nebo pravděpodobnost. Mezi nejběžnější modální slovesa patří:</p><br /><p><span class='inline-block w-44 pl-2'>moci</span><b>can</b></p><p><span class='inline-block w-44 pl-2'>moci (minulost)</span><b>could</b></p><p><span class='inline-block w-44 pl-2'>muset</span><b>must</b></p><p><span class='inline-block w-44 pl-2'>muset (povinnost)</span><b>have to</b></p><p><span class='inline-block w-44 pl-2'>nemoci</span><b>can't</b></p><p><span class='inline-block w-44 pl-2'>nesmět</span><b>mustn't</b></p><br /><p><b>Must </b> vyjadřuje subjektivní nutnost např. Musím se najíst.</p><p><b>Have to </b> vyjadřuje objektivní povinnost např. Musím jít do školy.</p>",21
22,"navrhovací způsob","<p><b>Navrhovací způsob</b> (making suggestions) v angličtině se nejčastěji vyjadřuje pomocí těchto vět:</p><br /><ul><li class='pl-2'><>Let's</> + základní tvar slovesa</li><li class='pl-2'><b>Shall we</b> + základní tvar slovesa?</li><li class='pl-2'><b>How about / What about</b> + -ing?</li><li class='pl-2'><b>Why don't we</b> + základní tvar slovesa?</li><li class='pl-2'><b>Would you like to</b> + základní tvar slovesa?</li><li class='pl-2'><b>We could</b> + základní tvar slovesa.</li><li class='pl-2'><b>Maybe we should</b> + základní tvar slovesa.</li></ul>",22
