czech,english,grammar_id
soubor,set,
generace,generation,
odkončit,final,
konečně,finally,
finále,final,
šéf,boss,
výročí,anniversary,
shromáždit,gather,
jinak,differently,
esej,essay,
únik,escape,
špagety,spaghetti,
diskuse,discussion,
význam,importance,
lavice,bench,
důležité,importantly,
královský,royal,
žasnout,marvel,
úžasné,marvellous,
zapůsobit,impress,
disko,disco,
sportovní centrum,sports centre,
kolotoč,roundabout,
ragby,rugby,
lék,drug,
lékárna,drugstore,
snowboard,snowboard,
snowboarding,snowboarding,
energický,energetic,
školní práce,schoolwork,
konec,ending,
ohrozit,endanger,
ohrožený,endangered,
mýdlo,soap,
sluchátka,headphone,
ředitel školy,headteacher,
podporovat,encourage,
školák,schoolchild,
vědecký,scientific,
prázdný,empty,
"Čekám tady už hodinu.","I have been waiting here for an hour.",50
"Studuje celý den. (ona)","She has been studying all day.",50
"Prší od rána.","It has been raining since morning.",50
"Pracujeme na tom projektu celý týden.","We have been working on that project all week.",50
"Učíš se anglicky už dlouho?","Have you been learning English for a long time?",50
"Hraje fotbal od dětství. (on)","He has been playing football since childhood.",50
"Čtou tu knihu už dvě hodiny.","They have been reading that book for two hours.",50
"Vařím večeři od pěti hodin.","I have been cooking dinner since five o'clock.",50
