czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
přídavné jméno,adjective,ˈædʒɪktˌɪv,adjective.opus,69000,,,,,True,69
násilný,violent,vˈaɪələnt,violent.opus,69001,,,,,True,69
raketa,racket,ɹˈækɪt,racket.opus,69002,,,,,True,69
housle,violin,vaɪəlˈɪn,violin.opus,69003,,,,,True,69
houba,mushroom,mˈʌʃɹuːm,mushroom.opus,69004,,,,,True,69
upravit,adjust,ɐdʒˈʌst,adjust.opus,69005,,,,,True,69
kamarád,pal,pˈæl,pal.opus,69006,,,,,True,69
bohatství,wealth,wˈɛlθ,wealth.opus,69007,,,,,True,69
tramvaj,tram,tɹˈæm,tram.opus,69008,,,,,True,69
výcvik,training,tɹˈeɪnɪŋ,training.opus,69009,,,,,True,69
proto,therefore,ðˈɛɹfɔːɹ,therefore.opus,69010,,,,,True,69
směs,mix,mˈɪks,mix.opus,69011,,,,,True,69
na rozdíl od,unlike,ʌnlˈaɪk,unlike.opus,69012,,,,,True,69
cibule,onion,ˈʌniən,onion.opus,69013,,,,,True,69
množný,plural,plˈʊɹɹəl,plural.opus,69014,,,,,True,69
plus,plus,plˈʌs,plus.opus,69015,,,,,True,69
balón,balloon,bəlˈuːn,balloon.opus,69016,,,,,True,69
pošta,post office,pˈoʊst ˈɑːfɪs,post_office.opus,69017,,,,,True,69
online,online,ˈɑːnlaɪn,online.opus,69018,,,,,True,69
umělý,artificial,ˌɑːɹɾɪfˈɪʃəl,artificial.opus,69019,,,,,True,69
patro,upstairs,ʌpstˈɛɹz,upstairs.opus,69020,,,,,True,69
meloun,melon,mˈɛlən,melon.opus,69021,,,,,True,69
Pozor,attention,ɐtˈɛnʃən,attention.opus,69022,,,,,True,69
mrkev,carrot,kˈæɹət,carrot.opus,69023,,,,,True,69
Zítra budu pozván na oslavu.,I'll be invited to the party tomorrow.,aɪl biː ɪnvˈaɪɾᵻd tə ðə pˈɑːɹɾi təmˈɑːɹoʊ,ill_be_invited_to_the_party_tomorrow.opus,69024,91,,,81,False,69
Ty budeš vybrán do týmu po zkoušce.,You'll be chosen for the team after the test.,juːl biː tʃˈoʊzən fɚðə tˈiːm ˈæftɚ ðə tˈɛst,youll_be_chosen_for_the_team_after_the_test.opus,69025,91,,,81,False,69
On bude příští měsíc povýšen.,He'll be promoted next month.,hiːl biː pɹəmˈoʊɾᵻd nˈɛkst mˈʌnθ,hell_be_promoted_next_month.opus,69026,91,,,81,False,69
Ona bude zítra informována o změně.,She'll be informed about the change tomorrow.,ʃiːl biː ɪnfˈɔːɹmd ɐbˌaʊt ðə tʃˈeɪndʒ təmˈɑːɹoʊ,shell_be_informed_about_the_change_tomorrow.opus,69027,91,,,81,False,69
To bude opraveno do pátku.,It'll be repaired by Friday.,ˌɪɾəl biː ɹᵻpˈɛɹd baɪ fɹˈaɪdeɪ,itll_be_repaired_by_friday.opus,69028,91,,,81,False,69
My budeme požádáni o pomoc během schůzky.,We'll be asked for help during the meeting.,wiːl biː ˈæskt fɔːɹ hˈɛlp dˈʊɹɹɪŋ ðə mˈiːɾɪŋ,well_be_asked_for_help_during_the_meeting.opus,69029,91,,,81,False,69
Vy budete placeni každý pátek.,You'll be paid every Friday.,juːl biː pˈeɪd ˈɛvɹi fɹˈaɪdeɪ,youll_be_paid_every_friday.opus,69030,91,,,81,False,69
Oni budou zítra kontrolováni u vchodu.,They'll be checked at the entrance tomorrow.,ðeɪl biː tʃˈɛkt æt ðɪ ˈɛntɹəns təmˈɑːɹoʊ,theyll_be_checked_at_the_entrance_tomorrow.opus,69031,91,,,81,False,69
