czech,english,grammar_id
hlučný,noisy,
zabránit,prevent,
dosáhnout,achieve,
nervový,nervous,
poklad,treasure,
negativní,negative,
tiše,quietly,
předstírat,pretend,
cestovatel,traveller,
soukromé,private,
cestování,travel,
astronaut,astronaut,
přestat,quit,
sdružení,association,
PC,PC,
past,trap,
vlna,wave,
argument,argument,
hrášek,pea,
klam,trick,
skutečně,truly,
vyhnout se,avoid,
zprůměrovat,average,
hlavní,principal,
akt,act,
problémy,trouble,
pravda,truth,
síť,net,
zaparkovat,park,
částečně,partly,
královna,queen,
cena,award,
peněženka,wallet,
bloudit,wander,
přihrávka,pass,
přejít,pass,
průchod,passage,
hrdost,pride,
chůze,walking,
návštěvník,visitor
"Budu zítra v 8 pracovat.","I will be working at 8 tomorrow.",58
"Budeš čekat na autobus?","Will you be waiting for the bus?",58
"On bude spát v té době.","He will be sleeping at that time.",58
"Budeme se učit anglicky.","We will be studying English.",58
"Oni budou hrát fotbal odpoledne.","They will be playing football in the afternoon.",58
"Budeš používat počítač?","Will you be using the computer?",58
"Ona bude vařit večeři.","She will be cooking dinner.",58
"Kdo bude sedět na této židli?","Who will be sitting on this chair?",58
