czech,english,grammar_id
vyhlásit,proclaim,
ohřívač,heater,
zájmeno,pronoun,
kyslík,oxygen,
svatý,holy,
scénický,scenic,
správně,properly,
proces,process,
atmosféra,atmosphere,
ohromující,overwhelming,
pádlo,paddle,
nebezpečí,hazard,
pronájem,hire,
vynikající,outstanding,
stádo,herd,
rozptyl,scatter,
děsivý,scary,
bledý,pale,
vnější,outer,
dlaň,palm,
nadějný,hopeful,
sci-fi,science fiction,
dosáhnout,attain,
pravděpodobnost,probability,
strašit,haunt,
doufejme,hopefully,
nenávist,hatred,
kyčle,hip,
poskok,hop,
jinak,otherwise,
měl by,ought to,
prominentní,prominent,
hit,hit,
léčit,heal,
léčení,healing,
líbánky,honeymoon,
Atlantik,Atlantic,
zaplaceno,paid,
dlužím,owe,
slibovat,promise,
"Dům byl postaven v roce 1990.","The house was built in 1990.",64
"Dopis byl napsán včera.","The letter was written yesterday.",64
"Auto bylo opraveno mechanikem.","The car was repaired by the mechanic.",64
"Obraz byl namalován slavnou umělkyní.","The painting was painted by a famous artist.",64
"Jídlo bylo snědeno během hodiny.","The food was eaten within an hour.",64
"Okno bylo rozbito míčem.","The window was broken by a ball.",64
"Test byl dokončen všemi studenty.","The test was completed by all students.",64
"Kniha byla přeložena do angličtiny.","The book was translated into English.",64
