czech,english,block_id,grammar_chunk_id
očernit,black,,
kdokoliv,anyone,,
bojí se,afraid,,
hovězí,beef,,
jediný,alone,,
včela,bee,,
kolo,bicycle,,
tlačítko,button,,
celý,all,,
v pořádku,all right,,
prázdný,blank,,
přibližně,around,,
dítě,baby,,
kolo,bike,,
nakoupit,buy,,
vědro,bucket,,
kost,bone,,
jakmile,as,,
tyč,bar,,
pod,below,,
letoun,aeroplane,,
může,can,,
bonbón,candy,,
skladovat,store,,
Pracuji?,Am I working?,45,41
Vaříš?,Are you cooking?,45,41
Řídí?,Is he driving?,45,41
Píše?,Is she writing?,45,41
Prší?,Is it raining?,45,41
Čekáme?,Are we waiting?,45,41
Učíte se?,Are you studying?,45,41
Běží?,Are they running?,45,41
Pracuji na správném úkolu?,Am I working on the right task?,,41
Vaříš dnes večer večeři?,Are you cooking dinner tonight?,,41
Řídí on do kanceláře?,Is he driving to the office?,,41
Píše ona zprávu?,Is she writing a message?,,41
Prší tam pořád?,Is it still raining there?,,41
Čekáme na správný autobus?,Are we waiting for the right bus?,,41
Učíte se na zkoušku?,Are you studying for the exam?,,41
Běží oni každý den?,Are they running every day?,,41
