czech,english,
lidský,human,
remíza,draw,
ilegální,illegal,
běh,running,
zklamaný,disappointed,
zmizet,disappear,
nesouhlasit,disagree,
nevýhoda,disadvantage,
pás,belt,
lano,rope,
šíření,spread,
vykořenit,root,
ředitel,director,
vzhled,appearance,
zklamáním,disappointing,
palec,inch,
dinosaurus,dinosaur,
hnědnout,brown,
zvýšení,increase,
čtverec,square,
digitální fotoaparát,digital camera,
romantika,romance,
romantický,romantic,
hrůza,horror,
běžec,runner,
rozlít,spill,
představivost,imagination,
pověst,rumour,
displej,display,
šplouchat,splash,
podíl,split,
zřejmě,apparently,
dopad,impact,
nechuť,dislike,
trpělivý,patient,
netrpělivý,impatient,
zničit,ruin,
zhruba,roughly,
upřímný,honest,
nečestný,dishonest,
"Čekáš tu dlouho?","Have you been waiting here for long?",52
"Studuje celý den? (ona)","Has she been studying all day?",52
"Prší od rána?","Has it been raining since morning?",52
"Pracujete na tom projektu celý týden?","Have you been working on that project all week?",52
"Učíš se anglicky dlouho?","Have you been learning English for a long time?",52
"Hraje fotbal od dětství? (on)","Has he been playing football since childhood?",52
"Čtou tu knihu už dvě hodiny?","Have they been reading that book for two hours?",52
"Vaříš večeři od pěti hodin?","Have you been cooking dinner since five o'clock?",52
