czech,english,block_id,grammar_chunk_id
křestní jméno,first name,,
výkřik,shout,,
česnek,garlic,,
plyn,gas,,
pohlaví,gender,,
znuděný,bored,,
soubor,set,,
generace,generation,,
odkončit,final,,
konečně,finally,,
finále,final,,
šéf,boss,,
výročí,anniversary,,
shromáždit,gather,,
jinak,differently,,
esej,essay,,
únik,escape,,
špagety,spaghetti,,
pochyba,doubt,,
dvojnásobek,double,,
od sebe,apart,,
reproduktor,speaker,,
hotovo,done,,
lov,hunt,,
Skončil jsem?,Have I finished?,68,65
Viděl jsi to?,Have you seen it?,68,65
Ztratil?,Has he lost it?,68,65
Rozhodla se?,Has she decided?,68,65
Rozbilo se?,Has it broken?,68,65
Přijeli jsme?,Have we arrived?,68,65
Zapomněli jste?,Have you forgotten?,68,65
Jedli už?,Have they eaten yet?,68,65
Dokončil jsem už všechny úkoly?,Have I finished all the tasks?,,65
Viděl jsi někdy Londýn?,Have you ever seen London?,,65
Ztratil on svou peněženku?,Has he lost his wallet?,,65
Rozhodla se ona přijmout nabídku?,Has she decided to accept the offer?,,65
Rozbilo se znovu?,Has it broken down again?,,65
Přijeli jsme do správné ulice?,Have we arrived at the right street?,,65
Zapomněli jste klíče doma?,Have you forgotten your keys at home?,,65
Jedli už večeři?,Have they eaten dinner yet?,,65
