czech,english,block_id,grammar_chunk_id,note_id
karta,card,,,
centrální,central,,,
směr,direction,,,
dolar,dollar,,,
ovoce,fruit,,,
dárek,gift,,,
vysoký,high,,,
nemoc,illness,,,
kus,piece,,,
chránit,protect,,,
závod,race,,,
od,since,,,
úsměv,smile,,,
lístek,ticket,,
dobře,well,,,
nehoda,accident,,,
krev,blood,,,
obchod,business,,,
během,during,,,
dokonce,even,,,
podlaha,floor,,,
obecný,general,,,
vybrat,choose,,,
informovat,inform,,,
schůzka,meeting,,,
objednat,order,,,
strana,party,,,
odpovědět,reply,,,
cestovat,travel,,,
virus,virus,,,
sledovat,watch,,,
jiný,another,,,
věřit,believe,,,
oba,both,,,
bránit,defend,,,
vždy,ever,,,
mýt,wash,,,
zranit,hurt,,,
holit,shave,,,
zrcadlo,mirror,,,
třináct,thirteen,16,12,
čtrnáct,fourteen,16,12,
patnáct,fifteen,16,12,
šestnáct,sixteen,16,12,
sedmnáct,seventeen,16,12,
osmnáct,eighteen,16,12,
devatenáct,nineteen,16,12,
dvacet,twenty,17,13,
třicet,thirty,17,13,
čtyřicet,forty,17,13,
padesát,fifty,17,13,
dvacet jedna,twenty-one,18,14,
dvacet dva,twenty-two,18,14,
sto patnáct,one hundred fifteen,18,14,
sto dvacet pět,one hundred twenty-five,18,14,
první,first,19,15,
druhý,second,19,15,
třetí,third,19,15,
čtvrtý,fourth,19,15,
pátý,fifth,19,15,
polovina,half,20,16,
třetina,third,20,16,
čtvrtina,quarter,20,16,
pětina,fifth,20,16,
šestina,sixth,20,16,
dvě sedminy,two sevenths,20,16,
tečka,point,21,17,
dvě celé osm,two point eight,21,17,
osm celých pět,eight point five,21,17,
nula celá dva,point two,21,17,
