czech,english,block_id,grammar_chunk_id,
skupina,group,,
naděje,hope,,
průmysl,industry,,
dívat se,look,,
muset,must,,
vlastní,own,,
osobní,personal,,
důvod,reason,,
představit,imagine,,
srdce,heart,,
pole,field,,
rozhodnout,decide,,
šílený,crazy,,
obvyklý,usual,,
zatímco,while,,
před,ago,,
podél,along,,
medvěd,bear,,
podmínka,condition,,
držet,hold,,
okraj,edge,,
jemný,fine,,
zvýšit,increase,,
časopis,magazine,,
příroda,nature,,
talíř,plate,,
jehož,whose,,
ostrý,sharp,,
někdy,sometimes,,
stále,still,,
by, would,,
přidat,add,,
mezi,among,,
postavený,built,,
běžný,common,,
záviset,depend,,
časný,early,,
letět,fly,,
stát se,happen,,
zkontrolovat,check,,
ráno,in the morning,24,20
odpoledne,in the afternoon,24,20
večer,in the evening,24,20
v lednu,in January,24,20
v létě,in summer,24,20
v zimě,in winter,24,20
v roce 2020,in 2020,24,20
v 19. století,in the 19th century,24,20
v pondělí,on Monday,25,21
v úterý,on Tuesday,25,21
v pátek ráno,on Friday morning,25,21
1. ledna,on January 1st,25,21
na moje narozeniny,on my birthday,25,21
na Štědrý den,on Christmas Eve,25,21
o víkendu,on the weekend,25,21
ve všední dny,on weekdays,25,21
v 7 hodin,at seven o’clock,26,22
v 8:30,at 8:30,26,22
v poledne,at noon,26,22
o půlnoci,at midnight,26,22
v noci,at night,26,22
za úsvitu,at dawn,26,22
za soumraku,at dusk,26,22
v době oběda,at lunchtime,26,22
