czech,english,block_id,
astronomie,astronomy,,
astronom,astronomer,,
vězeň,prisoner,,
biskup,bishop,,
převážit,outweigh,,
zbrklý,hasty,,
váhat,hesitate,,
roh,horn,,
horizont,horizon,,
soukromí,privacy,,
navrhnout,propose,,
papoušek,parrot,,
přemoci,overwhelm,,
návrh,proposal,,
padák,parachute,,
zakázat,prohibit,,
zákaz,prohibition,,
sázka,bet,,
hrozný,horrible,,
organické,organic,,
promiňte,pardon,,
princip,principle,,
hořké,bitter,,
orgán,organ,,
atomový,atomic,,
obrys,outline,,
pokračovat,proceed,,
biologie,biology,,
neaktuální,out-of-date,,
povýšit,promote,,
povýšení,promotion,,
bezmocný,helpless,,
čestně,honestly,,
výrobce,producer,,
poctivost,honesty,,
prokrastinace,procrastination,,
vlastnictví,property,,
vydatný,hearty,,
balík,package,,
biochemie,biochemistry,,
stejně,anyhow,,
nebe,heaven,,
nebesky,heavenly,,
pata,heel,,
výška,height,,
venkovní,outdoor,,
venku,outdoors,,
tempo,pace,,
