czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
ovládat,control,kəntɹˈoʊl,control.opus,10000,,,,,True,10
milý,dear,dˈɪɹ,dear.opus,10001,,,,,True,10
šéf,chief,tʃˈiːf,chief.opus,10002,,,,,True,10
pozvat,invite,ɪnvˈaɪt,invite.opus,10003,,,,,True,10
pozdní,late,lˈeɪt,late.opus,10004,,,,,True,10
většina,most,mˈoʊst,most.opus,10005,,,,,True,10
pouze,only,ˈoʊnli,only.opus,10006,,,,,True,10
produkt,product,pɹˈɑːdʌkt,product.opus,10007,,,,,True,10
služba,service,sˈɜːvɪs,service.opus,10008,,,,,True,10
měl by,shall,ʃˈæl,shall.opus,10009,,,,,True,10
zůstat,stay,stˈeɪ,stay.opus,10010,,,,,True,10
manželka,wife,wˈaɪf,wife.opus,10011,,,,,True,10
daleko,away,ɐwˈeɪ,away.opus,10012,,,,,True,10
péče,care,kˈɛɹ,care.opus,10013,,,,,True,10
náklady,cost,kˈɔst,cost.opus,10014,,,,,True,10
hluboký,deep,dˈiːp,deep.opus,10015,,,,,True,10
dost,enough,ɪnˈʌf,enough.opus,10016,,,,,True,10
bojovat,fight,fˈaɪt,fight.opus,10017,,,,,True,10
garáž,garage,ɡɚɹˈɑːʒ,garage.opus,10018,,,,,True,10
hvězda,star,stˈɑːɹ,star.opus,10019,,,,,True,10
ponechat,keep,kˈiːp,keep.opus,10020,,,,,True,10
chybět,miss,mˈɪs,miss.opus,10021,,,,,True,10
žádost,request,ɹᵻkwˈɛst,request.opus,10022,,,,,True,10
sezóna,season,sˈiːzən,season.opus,10023,,,,,True,10
nemocný,sick,sˈɪk,sick.opus,10024,,,,,True,10
vítat,welcome,wˈɛlkʌm,welcome.opus,10025,,,,,True,10
souhlasit,agree,ɐɡɹˈiː,agree.opus,10026,,,,,True,10
most,bridge,bɹˈɪdʒ,bridge.opus,10027,,,,,True,10
dort,cake,kˈeɪk,cake.opus,10028,,,,,True,10
jiný,other,ˈʌðɚ,other.opus,10029,,,,,True,10
hráč,player,plˈeɪɚ,player.opus,10030,,,,,True,10
spíše,rather,ɹˈæðɚ,rather.opus,10031,,,,,True,10
zůstat,remain,ɹᵻmˈeɪn,remain.opus,10032,,,,,True,10
strana,side,sˈaɪd,side.opus,10033,,,,,True,10
jih,south,sˈaʊθ,south.opus,10034,,,,,True,10
pravda,true,tɹˈuː,true.opus,10035,,,,,True,10
použít,use,jˈuːs,use.opus,10036,,,,,True,10
již,already,ɔːlɹˈɛdi,already.opus,10037,,,,,True,10
stát se,become,bɪkˈʌm,become.opus,10038,,,,,True,10
způsobit,cause,kˈɔːz,cause.opus,10039,,,,,True,10
můj,my,mˈaɪ,my.opus,10040,13,,,9,False,10
tvůj,your,jˈʊɹ,your.opus,10041,13,,,9,False,10
jeho (on),his,hˈɪz,his.opus,10042,13,,,9,False,10
její,her,hˈɜː,her.opus,10043,13,,,9,False,10
jeho (ono),its,ˈɪts,its.opus,10044,13,,,9,False,10
náš,our,ˈaʊɚ,our.opus,10045,13,,,9,False,10
váš,your,jˈʊɹ,your.opus,10046,13,,,9,False,10
jejich,their,ðˈɛɹ,their.opus,10047,13,,,9,False,10
Tomovo,Tom's,tˈɑːmz,toms.opus,10048,14,,,10,False,10
Annina,Anna's,ˈænəz,annas.opus,10049,14,,,10,False,10
lidí,people's,pˈiːpəlz,peoples.opus,10050,14,,,10,False,10
studentů,students',stˈuːdənts,students.opus,10051,14,,,10,False,10
můj otec,my father,maɪ fˈɑːðɚ,my_father.opus,10052,,,,9,False,10
tvůj bratr,your brother,jʊɹ bɹˈʌðɚ,your_brother.opus,10053,,,,9,False,10
jeho sestra,his sister,hɪz sˈɪstɚ,his_sister.opus,10054,,,,9,False,10
její auto,her car,hɜː kˈɑːɹ,her_car.opus,10055,,,,9,False,10
naše škola,our school,ˌaʊɚ skˈuːl,our_school.opus,10056,,,,9,False,10
vaše kniha,your book,jʊɹ bˈʊk,your_book.opus,10057,,,,9,False,10
jejich dům,their house,ðɛɹ hˈaʊs,their_house.opus,10058,,,,9,False,10
Tomův pes,Tom's dog,tˈɑːmz dˈɑːɡ,toms_dog.opus,10059,,,,10,False,10
Annina kočka,Anna's cat,ˈænəz kˈæt,annas_cat.opus,10060,,,,10,False,10
