czech,english,block_id,grammar_chunk_id
stuha,ribbon,,
recenze,review,,
zpravodaj,reporter,,
nemovitý,real,,
připraveno,ready,,
čtenář,reader,,
krysa,rat,,
deštivý,rainy,,
králičí,rabbit,,
klid,quiet,,
rychle,quickly,,
zpochybňovat,question,,
čtvrtletí,quarter,,
čtení,reading,,
vydatný,rich,,
jízda,ride,,
jezdit,ride,,
vědec,scientist,,
pila,saw,,
sendvič,sandwich,,
prodej,sale,,
salát,salad,,
plachta,sail,,
námořník,sailor,,
"I navrhuji, abychom odešli",I suggest we leave,42,36
Ty bys mohl počkat,You could wait,42,36
On může pomoci,He can help,42,36
Ona by mohla zavolat,She could call,42,36
To by mohlo fungovat,It might work,42,36
My bychom měli začít,We should start,42,36
Vy byste měli začít,You should start,42,36
Oni mohou přijít,They can join,42,36
"Navrhuji, abychom jeli autobusem.",I suggest taking the bus.,,37
Možná bys mohl zkusit znovu.,You could try again.,,37
"On navrhuje, abychom počkali venku.",He suggests waiting outside.,,37
Ona by si dala kávu.,She would like some coffee.,,37
Možná to bude fungovat.,It might work.,,37
Máme objednat pizzu?,Shall we order pizza?,,37
Měli byste začít bez nich.,You should start without them.,,37
"Navrhují, abychom zůstali doma.",They suggest staying home.,,37
