czech,english,grammar_id
plně,fully,
stín,shadow,
vařený,boiled,
fungovat,function,
odstín,shade,
blázen,fool,
regál,bookshelf,
mouka,flour,
knihkupectví,bookshop,
zaplavit,flood,
šít,sew,
plovák,float,
let,flight,
nábytek,furniture,
prodavač,shop assistant,
další,further,
blecha,flea,
pobřeží,shore,
vařit,boil,
nepříjemný,annoying,
fotbalista,footballer,
upřímný,frank,
podíl,share,
šampon,shampoo,
vpřed,forward,
štěstí,fortune,
naštěstí,fortunately,
svoboda,freedom,
zmrazit,freeze,
skořápka,shell,
zděšení,fright,
děsivý,frightening,
vidlice,fork,
navždy,forever,
smažený,fried,
les,forest,
bonus,bonus,
přátelství,friendship,
vystrašit,frighten,
síla,force,
"Udělal jsi domácí úkol? Ano, udělal.","Have you done your homework? Yes, I have.",48
"Viděl jsi ten film? Ne, neviděl jsem.","Have you seen the movie? No, I haven't.",48
"On ztratil klíče? Ano, ztratil.","Has he lost his keys? Yes, he has.",48
"Ona navštívila Paříž? Ne, nenavštívila.","Has she visited Paris? No, she hasn't.",48
"Oni koupili nový dům? Ano, koupili.","Have they bought a new house? Yes, they have.",48
"Už jste začali? Ne, nezačali jsme.","Have you already started? No, we haven't.",48
"Byl jsi někdy v Londýně? Ano, byl jsem.","Have you ever been to London? Yes, I have.",48
"Jedl jsi už snídani? Ne, nejedl jsem.","Have you eaten breakfast yet? No, I haven't.",48
