czech,english,block_id,grammar_chunk_id
psaní,writing,,
zaznamenat,record,,
úkol,task,,
ukázat,point,,
hotovost,cash,,
křivdit,wrong,,
kazeta,cassette,,
útočit,attack,,
cíl,target,,
hrad,castle,,
naštvaný,upset,,
páska,tape,,
možná,possibly,,
zmínka,mention,,
v zahraničí,abroad,,
menu,menu,,
dostávat,receive,,
nedávné,recent,,
jednotka,unit,,
dospívající,teenager,,
omeleta,omelette,,
použitý,used,,
recepce,reception,,
recepční,receptionist,,

Já jsem právě sledován policií.,I'm being watched by the police right now.,92,82
Ty jsi právě testován na covid.,You're being tested for COVID right now.,92,82
On je právě fotografován novinářem.,He's being photographed by a journalist right now.,92,82
Ona je během rozhovoru nahrávána.,She's being recorded during the interview.,92,82
To se právě opravuje v dílně.,It's being repaired in the workshop right now.,92,82
My jsme právě kontrolováni u vstupu.,We're being checked at the entrance right now.,92,82
Vy jste právě vyslýcháni policií.,You're being questioned by the police right now.,92,82
Oni jsou tento týden školeni novým vedoucím.,They're being trained by the new manager this week.,92,82
