czech,english,block_id,grammar_chunk_id,note_id,topic_id
přístav,port,,,
datum,date,,,
pokoj,room,,,
kuchyně,kitchen,,,
koupelna,bathroom,,,
obývací pokoj,living room,,,
ložnice,bedroom,,,
tunel,tunnel,,,
já jsem,I am,6,1,,
ty jsi,you are,6,1,,
on je,he is,6,1,,
ona je,she is,6,1,,
to je,it is,6,1,,
my jsme,we are,6,1,,
vy jste,you are,6,1,,
oni jsou,they are,6,1,,
tvář,face,,,
pokud,if,,,
místo,place,,,
cesta,road,,,
zastavit,stop,,,
chtít,want,,,
odpovědět,answer,,,
mezi,between,,,
já jsem (zk.),I'm,7,2,,
ty jsi (zk.),you're,7,2,,
on je (zk.),he's,7,2,
ona je (zk.),she's,7,2,,
to je (zk.),it's,7,2,,
my jsme (zk.),we're,7,2,,
vy jste (zk.),you're,7,2,,
oni jsou (zk.),they're,7,2,,
vše,all,,,
a,and,,,
chlapec,boy,,,
konec,end,,,,
rodina,family,,,,
brzy,soon,,,,
lidé,people,,,,
mluvit,speak,,,,
Já jsem šťastný.,I'm happy.,,2,,
Ty jsi smutný.,You're sad.,,2,,
On je vysoký.,He's tall.,,2,,
Ona je malá.,She's small.,,2,,
Je to špatné.,It's bad.,,2,,
My jsme bohatí.,We're rich.,,2,,
Vy jste tlustí.,You're fat.,,2,,
Oni jsou staří.,They're old.,,2,,
zeptat se,ask,,,,
učit se,learn,,,,
otázka,question,,,,
říci,say,,,,
začít,start,,,,
slovo,word,,,,
o,about,,,,
dívka,girl,,,,
měsíc (na nebi),moon,,,,
Já jsem hladový.,I'm hungry.,,2,,
Ty jsi unavená.,You're tired.,,2,,
On je přátelský.,He's friendly.,,2,,
Ona je tlustá.,She's fat.,,2,,
Je to snadné.,It's easy.,,2,,
My jsme naštvaní.,We're angry.,,2,,
Vy jste oškliví.,You're ugly.,,2,,
Oni jsou rychlí.,They're fast.,,2,,
pomoc,help,,,
znát,know,,,,
nový,new,,,,
papír,paper,,,,
ukázat,show,,,,
silnice,road,,,,
odpověď,answer,,,,
Já jsem chudý.,I'm poor.,,2,,
Ty jsi krásná.,You're beautiful.,,2,,
On je pomalý.,He's slow.,,2,,
Ona je špinavá.,She's dirty.,,2,,
Je to čisté.,It's clean.,,2,,
My jsme slabí.,We're weak.,,2,,
Vy jste hubení.,You're thin.,,2,,
Oni jsou dobří.,They're good.,,2,,
