czech,english,block_id,grammar_chunk_id
činidlo,agent,,
divit se,wonder,,
balkón,balcony,,
nedůležité,unimportant,,
učebnice,textbook,,
textovou zprávu,text message,,
nezapomenutelný,unforgettable,,
planeta,planet,,
v,within,,
zrcadlo,mirror,,
trouba,oven,,
nešťastný,unhappy,,
vyděsit,terrify,,
dřevěný,wooden,,
nad,over,,
jednotný,uniform,,
nabízet,offer,,
vlna,wool,,
minerální voda,mineral water,,
nalít,pour,,
přání,wish,,
ve věku,aged,,
nezdravý,unhealthy,,
jejich,theirs,,

Já jsem dřív plaval,I used to swim,96,86
Ty jsi dřív kouřil,You used to smoke,96,86
On dřív pracoval v bance,He used to work in a bank,96,86
Ona dřív tančila,She used to dance,96,86
Dřív to fungovalo,It used to work,96,86
My jsme dřív bydleli v Brně,We used to live in Brno,96,86
Vy jste dřív jezdili vlakem,You used to travel by train,96,86
Oni dřív hráli spolu,They used to play together,96,86
