czech,english,block_id,grammar_chunk_id
pravítko,ruler,,
hrubý,rude,,
řádek,row,,
růže,rose,,
úloha,role,,
správný,right,,
právo,right,,
tlačit,push,,
víčko,cap,,
album,album,,
přinést,bring,,
stát za něčím,behind,,
základna,base,,
baseball,baseball,,
jasný,bright,,
rozzlobený,angry,,
zástěra,apron,,
blok,block,,
nic,anything,,
košík,basket,,
basketball,basketball,,
netopýr,bat,,
podnikání,business,,
přítel,boyfriend,,
já čtu,I'm reading,43,39
ty vaříš,you're cooking,43,39
on řídí,he's driving,43,39
ona píše,she's writing,43,39
ono prší,it's raining,43,39
my čekáme,we're waiting,43,39
vy se učíte,you're learning,43,39
oni běží,they're running,43,39
Právě teď čtu novou knihu.,I'm reading a new book right now.,,39
Vaříš večeři pro celou rodinu.,You're cooking dinner for the whole family.,,39
On dnes řídí do práce.,He's driving to work today.,,39
Ona píše e-mail svému učiteli.,She's writing an email to her teacher.,,39
Venku právě prší.,It's raining outside right now.,,39
Čekáme na autobus před domem.,We're waiting for the bus outside the house.,,39
Učíte se na zítřejší test.,You're studying for tomorrow's test.,,39
Běží do cíle.,They're running to the finish line.,,39
