czech,english
"Za prvé si musíme ujasnit, co přesně řešíme.","First of all, we need to clarify what we're actually dealing with."
"Na jednu stranu tomu rozumím, na druhou stranu s tím nesouhlasím.","On the one hand I understand it, but on the other hand I disagree."
"To je pravda, ale nesmíme zapomínat na druhou stránku věci.","That's true, but we mustn't forget the other side of the issue."
"Navíc by to mohlo způsobit další problémy.","Besides, it could cause further problems."
"V každém případě bych byl opatrný.","In any case, I'd be careful."
"Ať tak či onak, musíme se rozhodnout dnes.","Either way, we need to decide today."
"Jinými slovy, nemáme dostatek času.","In other words, we don't have enough time."
"To znamená, že musíme změnit celý postup.","That means we need to change the whole approach."
"V tom případě bych s tím počkal.","In that case, I'd wait with it."
"Pokud jde o mě, nechal bych to na zítra.","As far as I'm concerned, I'd leave it until tomorrow."
"Co se týče ceny, ta je přijatelná.","As far as the price is concerned, it's acceptable."
"Když už o tom mluvíme, mám ještě jednu otázku.","While we're on the subject, I have one more question."
"Když na to přijde, dokážu si poradit sám.","When it comes down to it, I can manage on my own."
"To je důvod, proč jsem se rozhodl počkat.","That's the reason why I decided to wait."
"Proto bych navrhoval jiný postup.","That's why I'd suggest a different approach."
"Kvůli tomu jsme museli začít znovu.","Because of that, we had to start again."
"Přestože to zní zvláštně, je to pravda.","Although it sounds strange, it's true."
"Navzdory všem potížím jsme to dokončili.","Despite all the difficulties, we finished it."
"I když jsem byl unavený, pokračoval jsem.","Even though I was tired, I carried on."
"Pokud vím, nikdo proti tomu nic nemá.","As far as I know, nobody has a problem with it."
"Pokud se nemýlím, schůzka začíná v devět.","Unless I'm mistaken, the meeting starts at nine."
"Jak jsem již zmínil, termín se změnil.","As I mentioned, the deadline has changed."
"Jak už jsem řekl, nechci se do toho míchat.","As I said, I don't want to get involved."
"Než začneme, rád bych něco vysvětlil.","Before we begin, I'd like to explain something."
"Než na to odpovím, potřebuji si to ověřit.","Before I answer that, I need to check it."
"Jakmile budeme mít potvrzení, můžeme pokračovat.","Once we have confirmation, we can continue."
"Dokud nebude jasno, nebudeme nic měnit.","Until it's clear, we won't change anything."
"Zatímco ty budeš pracovat, já připravím večeři.","While you work, I'll make dinner."
"Kromě toho nemáme jinou možnost.","Apart from that, we don't have another option."
"S výjimkou jednoho detailu je všechno v pořádku.","With the exception of one detail, everything is fine."
"To platí zejména v případě nových zaměstnanců.","This is especially true in the case of new employees."
"To se týká nejen nás, ale i našich zákazníků.","This affects not only us but also our customers."
"Nejenže je to drahé, ale také to trvá příliš dlouho.","Not only is it expensive, but it also takes too long."
"Čím dřív začneme, tím dřív skončíme.","The sooner we start, the sooner we'll finish."
"Čím déle čekáš, tím horší to bude.","The longer you wait, the worse it will be."
"Vzhledem k tomu, co se stalo, je to pochopitelné.","Given what happened, it's understandable."
"S ohledem na situaci bych byl raději doma.","In view of the situation, I'd rather be at home."
"To je sice možné, ale není to pravděpodobné.","That's possible, although it's not likely."
"Ne že by to bylo nemožné, ale nebude to snadné.","It's not impossible, but it won't be easy."
"Ve skutečnosti je problém úplně jinde.","In fact, the problem is somewhere else entirely."
"Přesně to jsem měl na mysli.","That's exactly what I had in mind."
"To je něco, s čím musíme počítat.","That's something we need to allow for."
"To je otázka, na kterou není snadné odpovědět.","That's a question that's not easy to answer."
"To je něco, co bych nerad podcenil.","That's something I wouldn't want to underestimate."
"Stručně řečeno, potřebujeme více času.","To put it briefly, we need more time."
"Celkově vzato to byl úspěch.","All things considered, it was a success."
"Koneckonců je to tvoje rozhodnutí.","After all, it's your decision."
"Bez ohledu na to, co si myslíš, musíme jednat.","Regardless of what you think, we need to act."
