czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
tancovat,dance,dˈæns,dance.opus,6000,,,,,True,6
dělat,do,dˈuː,do.opus,6001,,,,,True,6
každý,each,ˈiːtʃ,each.opus,6002,,,,,True,6
povolání,job,dʒˈɑːb,job.opus,6003,,,,,True,6
život,life,lˈaɪf,life.opus,6004,,,,,True,6
osoba,person,pˈɜːsən,person.opus,6005,,,,,True,6
připravený,ready,ɹˈɛdi,ready.opus,6006,,,,,True,6
schopný,able,ˈeɪbəl,able.opus,6007,,,,,True,6
já nejsem,I am not,aɪɐm nˈɑːt,i_am_not.opus,6008,8,,,3,False,6
ty nejsi,you are not,juː ɑːɹ nˈɑːt,you_are_not.opus,6009,8,,,3,False,6
on není,he is not,hiː ɪz nˈɑːt,he_is_not.opus,6010,8,,,3,False,6
ona není,she is not,ʃiː ɪz nˈɑːt,she_is_not.opus,6011,8,,,3,False,6
to není,it is not,ɪɾ ɪz nˈɑːt,it_is_not.opus,6012,8,,,3,False,6
my nejsme,we are not,wiː ɑːɹ nˈɑːt,we_are_not.opus,6013,8,,,3,False,6
vy nejste,you are not,juː ɑːɹ nˈɑːt,you_are_not.opus,6014,8,,,3,False,6
oni nejsou,they are not,ðeɪ ɑːɹ nˈɑːt,they_are_not.opus,6015,8,,,3,False,6
ale,but,bˈʌt,but.opus,6016,,,,,True,6
sen,dream,dɹˈiːm,dream.opus,6017,,,,,True,6
pro,for,fˈɔːɹ,for.opus,6018,,,,,True,6
uvnitř,inside,ɪnsˈaɪd,inside.opus,6019,,,,,True,6
nyní,now,nˈaʊ,now.opus,6020,,,,,True,6
nebo,or,ˈɔːɹ,or.opus,6021,,,,,True,6
obrázek,picture,pˈɪktʃɚ,picture.opus,6022,,,,,True,6
před,before,bᵻfˈɔːɹ,before.opus,6023,,,,,True,6
já nejsem (zk.),I'm not,aɪm nˈɑːt,im_not.opus,6024,9,,,4,False,6
