czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
určitý,certain,sˈɜːʔn̩,certain.opus,19000,,,,,True,19
popsat,describe,dᵻskɹˈaɪb,describe.opus,19001,,,,,True,19
suchý,dry,dɹˈaɪ,dry.opus,19002,,,,,True,19
očekávat,expect,ɛkspˈɛkt,expect.opus,19003,,,,,True,19
fakt,fact,fˈækt,fact.opus,19004,,,,,True,19
zahrnout,include,ɪŋklˈuːd,include.opus,19005,,,,,True,19
nechat,let,lˈɛt,let.opus,19006,,,,,True,19
moment,moment,mˈoʊmənt,moment.opus,19007,,,,,True,19
síla,power,pˈaʊɚ,power.opus,19008,,,,,True,19
poskytnout,provide,pɹəvˈaɪd,provide.opus,19009,,,,,True,19
hlásit,report,ɹᵻpˈɔːɹt,report.opus,19010,,,,,True,19
sedadlo,seat,sˈiːt,seat.opus,19011,,,,,True,19
jednotlivý,single,sˈɪŋɡəl,single.opus,19012,,,,,True,19
systém,system,sˈɪstəm,system.opus,19013,,,,,True,19
skrze,through,θɹˈuː,through.opus,19014,,,,,True,19
barva,colour,kˈʌlɚ,colour.opus,19015,,,,,True,19
odlišný,different,dˈɪfɹənt,different.opus,19016,,,,,True,19
Země,Earth,ˈɜːθ,earth.opus,19017,,,,,True,19
film,film,fˈɪlm,film.opus,19018,,,,,True,19
rád,glad,ɡlˈæd,glad.opus,19019,,,,,True,19
jen,just,dʒˈʌst,just.opus,19020,,,,,True,19
láska,love,lˈʌv,love.opus,19021,,,,,True,19
tužka,pencil,pˈɛnsəl,pencil.opus,19022,,,,,True,19
rychlý,quick,kwˈɪk,quick.opus,19023,,,,,True,19
v domě,in the house,ɪnðə hˈaʊs,in_the_house.opus,19024,31,,,23,False,19
v pokoji,in the room,ɪnðə ɹˈuːm,in_the_room.opus,19025,31,,,23,False,19
v autě,in the car,ɪnðə kˈɑːɹ,in_the_car.opus,19026,31,,,23,False,19
ve městě,in the city,ɪnðə sˈɪɾi,in_the_city.opus,19027,31,,,23,False,19
v krabici,in the box,ɪnðə bˈɑːks,in_the_box.opus,19028,31,,,23,False,19
v tašce,in the bag,ɪnðə bˈæɡ,in_the_bag.opus,19029,31,,,23,False,19
v kuchyni,in the kitchen,ɪnðə kˈɪtʃən,in_the_kitchen.opus,19030,31,,,23,False,19
v zahradě,in the garden,ɪnðə ɡˈɑːɹdən,in_the_garden.opus,19031,31,,,23,False,19
na stole,on the table,ɔnðə tˈeɪbəl,on_the_table.opus,19032,32,,,24,False,19
na zdi,on the wall,ɔnðə wˈɔːl,on_the_wall.opus,19033,32,,,24,False,19
na podlaze,on the floor,ɔnðə flˈɔːɹ,on_the_floor.opus,19034,32,,,24,False,19
na střeše,on the roof,ɔnðə ɹˈuːf,on_the_roof.opus,19035,32,,,24,False,19
na stránce,on the page,ɔnðə pˈeɪdʒ,on_the_page.opus,19036,32,,,24,False,19
v televizi,on TV,ˌɔn tˌiːvˈiː,on_tv.opus,19037,32,,,24,False,19
na seznamu,on the list,ɔnðə lˈɪst,on_the_list.opus,19038,32,,,24,False,19
na obrázku,on the picture,ɔnðə pˈɪktʃɚ,on_the_picture.opus,19039,32,,,24,False,19
u dveří,at the door,æt ðə dˈɔːɹ,at_the_door.opus,19040,33,,,25,False,19
na zastávce,at the bus stop,æt ðə bˈʌs stˈɑːp,at_the_bus_stop.opus,19041,33,,,25,False,19
doma,at home,æt hˈoʊm,at_home.opus,19042,33,,,25,False,19
v práci,at work,æt wˈɜːk,at_work.opus,19043,33,,,25,False,19
ve škole,at school,æt skˈuːl,at_school.opus,19044,33,,,25,False,19
na letišti,at the airport,æt ðɪ ˈɛɹpɔːɹt,at_the_airport.opus,19045,33,,,25,False,19
u stolu,at the table,æt ðə tˈeɪbəl,at_the_table.opus,19046,33,,,25,False,19
u vchodu,at the entrance,æt ðɪ ˈɛntɹəns,at_the_entrance.opus,19047,33,,,25,False,19
