czech,english,block_id,grammar_chunk_id
turné,tour,,
průvodce,tour guide,,
hudební,musical,,
pomáhat,assist,,
asistent,assistant,,
ubrousek,napkin,,
malíř,painter,,
dvakrát,twice,,
tlak,pressure,,
kvíz,quiz,,
nutné,necessary,,
téměř,nearly,,
panika,panic,,
hrozné,awful,,
pro,pro,,
argumentovat,argue,,
normální,normal,,
pánev,pan,,
přírodní,natural,,
rodák,native,,
hruška,pear,,
sever,north,,
sportovec,athlete,,
trénovat,train,,

Já už jsem byl pozván na schůzku.,I've already been invited to the meeting.,90,80
Ty už jsi byl vybrán do týmu.,You've already been chosen for the team.,90,80
On byl nedávno povýšen.,He's recently been promoted.,90,80
Ona už byla informována o změně.,She's already been informed about the change.,90,80
To už bylo opraveno.,It's already been repaired.,90,80
My jsme už byli požádáni o pomoc.,We've already been asked for help.,90,80
Vy už jste byli obslouženi.,You've already been served.,90,80
Oni už byli zaplaceni.,They've already been paid.,90,80

