czech,english,block_id,grammar_chunk_id
postupně,gradually,,
zpěv,singing,,
jedinný,single,,
známý,familiar,,
expert,expert,,
zažít,experience,,
skluzavka,slide,,
mořské plody,seafood,,
přesně,exactly,,
pistole,gun,,
štíhlý,slim,,
deka,blanket,,
důkaz,evidence,,
značka,brand,,
statečný,brave,,
vina,blame,,
skript,script,,
vůbec,ever,,
zkouška,exam,,
přerušení,break,,
rozpůlit,half,,
tabule,blackboard,,
poloviční cenu,half-price,,
pomalu,slowly,,

Kdy mu zavolám?,When am I going to call him?,67,57
Co budeš vařit?,What are you going to cook?,67,57
Kdy začne?,When is she going to start?,67,57
Kam odjede?,Where is she going to go?,67,57
Kdy to spadne?,When is it going to fall?,67,57
Kde zůstaneme?,Where are we going to stay?,67,57
Co vyhrajete?,What are you going to win?,67,57
Kdy přijedou?,When are they going to arrive?,67,57

