czech,english,block_id,grammar_chunk_id
křestní jméno,first name,,
výkřik,shout,,
česnek,garlic,,
plyn,gas,,
pohlaví,gender,,
znuděný,bored,,
soubor,set,,
generace,generation,,
odkončit,final,,
konečně,finally,,
finále,final,,
šéf,boss,,
výročí,anniversary,,
shromáždit,gather,,
jinak,differently,,
esej,essay,,
únik,escape,,
špagety,spaghetti,,
pochyba,doubt,,
dvojnásobek,double,,
od sebe,apart,,
reproduktor,speaker,,
hotovo,done,,
lov,hunt,,

Skončil jsem už?,Have I finished yet?,73,63
Už jsi viděl ten film?,Have you seen the movie yet?,73,63
Ztratil už klíče?,Has he lost his keys yet?,73,63
Už se rozhodla?,Has she decided yet?,73,63
Už se to rozbilo?,Has it broken yet?,73,63
Už jsme přijeli?,Have we arrived yet?,73,63
Už jste zapomněli adresu?,Have you forgotten the address yet?,73,63
Už jedli?,Have they eaten yet?,73,63
