czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
zejména,especially,ɪspˈɛʃəli,especially.opus,58000,,,,,True,58
limonáda,soda,sˈoʊdə,soda.opus,58001,,,,,True,58
udeřit,hit,hˈɪt,hit.opus,58002,,,,,True,58
hokej,hockey,hˈɑːki,hockey.opus,58003,,,,,True,58
východ,east,ˈiːst,east.opus,58004,,,,,True,58
snadno,easily,ˈiːzili,easily.opus,58005,,,,,True,58
ctižádost,ambition,æmbˈɪʃən,ambition.opus,58006,,,,,True,58
za,beyond,bᵻjˈɔnd,beyond.opus,58007,,,,,True,58
zemětřesení,earthquake,ˈɜːθkweɪk,earthquake.opus,58008,,,,,True,58
náušnice,earring,ˈɪɹɪŋ,earring.opus,58009,,,,,True,58
už,anymore,ˌɛnɪmˈɔːɹ,anymore.opus,58010,,,,,True,58
měřítko,scale,skˈeɪl,scale.opus,58011,,,,,True,58
zlepšit se,better,bˈɛɾɚ,better.opus,58012,,,,,True,58
klobása,sausage,sˈɔːsɪdʒ,sausage.opus,58013,,,,,True,58
med,honey,hˈʌni,honey.opus,58014,,,,,True,58
čest,honour,ˈɑːnɚ,honour.opus,58015,,,,,True,58
omáčka,sauce,sˈɔːs,sauce.opus,58016,,,,,True,58
uspokojit,satisfy,sˈæɾɪsfˌaɪ,satisfy.opus,58017,,,,,True,58
nevěsta,bride,bɹˈaɪd,bride.opus,58018,,,,,True,58
vánek,breeze,bɹˈiːz,breeze.opus,58019,,,,,True,58
jednoho dne,someday,sˈʌmdeɪ,someday.opus,58020,,,,,True,58
hiphop,hiphop,hˈɪphɑːp,hiphop.opus,58021,,,,,True,58
nealkoholický nápoj,soft drink,sˈɔft dɹˈɪŋk,soft_drink.opus,58022,,,,,True,58
měkce,softly,sˈɔftli,softly.opus,58023,,,,,True,58
"Já jsem ještě neodešel, když zavolala.",I hadn't left yet when she called.,aɪ hˈædənt lˈɛft jˈɛt wɛn ʃiː kˈɔːld,i_hadnt_left_yet_when_she_called.opus,58024,80,,,70,False,58
"Ty jsi ještě neskončil, když začalo pršet.",You hadn't finished yet when it started raining.,juː hˈædənt fˈɪnɪʃt jˈɛt wɛn ɪt stˈɑːɹɾᵻd ɹˈeɪnɪŋ,you_hadnt_finished_yet_when_it_started_raining.opus,58025,80,,,70,False,58
"On ještě nejedl, když jsme dorazili.",He hadn't eaten yet when we arrived.,hiː hˈædənt ˈiːʔn̩ jˈɛt wɛn wiː ɚɹˈaɪvd,he_hadnt_eaten_yet_when_we_arrived.opus,58026,80,,,70,False,58
"Ona ještě nepřijela, když schůzka začala.",She hadn't arrived yet when the meeting started.,ʃiː hˈædənt ɚɹˈaɪvd jˈɛt wɛn ðə mˈiːɾɪŋ stˈɑːɹɾᵻd,she_hadnt_arrived_yet_when_the_meeting_started.opus,58027,80,,,70,False,58
"To se ještě nerozbilo, když jsme to zkontrolovali.",It hadn't broken yet when we checked it.,ɪt hˈædənt bɹˈoʊkən jˈɛt wɛn wiː tʃˈɛkt ɪt,it_hadnt_broken_yet_when_we_checked_it.opus,58028,80,,,70,False,58
My jsme do té doby nezapomněli heslo.,We hadn't forgotten the password by then.,wiː hˈædənt fɚɡˈɑːʔn̩ ðə pˈæswɜːd baɪ ðˈɛn,we_hadnt_forgotten_the_password_by_then.opus,58029,80,,,70,False,58
"Vy jste ten film neviděli, než jsme se setkali.",You hadn't seen the movie before we met.,juː hˈædənt sˈiːn ðə mˈuːvi bᵻfˌɔːɹ wiː mˈɛt,you_hadnt_seen_the_movie_before_we_met.opus,58030,80,,,70,False,58
"Oni ještě neodešli, když jsme dorazili.",They hadn't left yet when we arrived.,ðeɪ hˈædənt lˈɛft jˈɛt wɛn wiː ɚɹˈaɪvd,they_hadnt_left_yet_when_we_arrived.opus,58031,80,,,70,False,58
