czech,english,block_id,grammar_chunk_id
hračka,toy,,
věž,tower,,
ručník,towel,,
přímý,direct,,
prohlásit,declare,,
zavřít,shut,,
cesta,journey,,
hlas,voice,,
povýšit,elevate,,
výtah,elevator,,
nenávist,hate,, 
řádek,line,,
přes,over,,
táhnout,pull,,
prsten,ring,,
podobný,similar,,
rychlost,speed,,
než,than,,
nad,above,,
začít,begin,,
století,century,,
zvážit,consider,,
nebezpečný,dangerous,,
výměna,exchange,,
vláda,government,,
slyšet,hear,,
skákat,jump,,
materiál,material,,
minulost,past,,
produkovat,produce,,
odstranit,remove,,
tajemství,secret,,
píseň,song,,
televize,television,,
hodnota,value,,
kdy,when,,
za,behind,,
případ,case,,
sbírat,collect,,
kreslit,draw,,
