czech,english,block_id,grammar_chunk_id
knihkupectví,bookstore,,
kapela,band,,
probudit,awake,,
volání,call,,
více než,above,,
výše,above,,
okolo,about,,
nudný,boring,,
podle,by,,
sbohem,bye,,
požádat,ask,,
tábor,camp,,
dopoledne,AM,,
kartáčovat,brush,,
stadión,stadium,,
přejít,cross,,
práce,labour,,
schodiště,stair,,
kříž,cross,,
levný,inexpensive,,
kritizovat,criticise,,
role (např. papíru),roll,,
křupavý,crisp,,
souprava,kit,,

Co dělám?,What am I doing?,51,41
Kam jdeš?,Where are you going?,51,41
Proč běží?,Why is he running?,51,41
Co píše?,What is she writing?,51,41
Proč prší?,Why is it raining?,51,41
Kam jdeme?,Where are we walking?,51,41
Co hledáte?,What are you looking for?,51,41
Kdy přijíždějí?,When are they arriving?,51,41

Co vařím v kuchyni?,What am I cooking in the kitchen?,,41
Kde bydlíš během studia?,Where are you staying during your studies?,,41
Proč čeká na autobus?,Why is he waiting for the bus?,,41
Co kreslí do svého sešitu?,What is she drawing in her notebook?,,41
Proč se dnes ochlazuje?,Why is it getting colder today?,,41
Co si objednáváme po práci?,What are we ordering after work?,,41
Co nesete v tašce?,What are you carrying in the bag?,,41
Kdy odjíždějí z nádraží?,When are they leaving the station?,,41
