czech,english,block_id,grammar_chunk_id
policista,policeman,,
policistka,policewoman,,
sirotek,orphan,,
centimetr,centimetre,,
kampus,campus,,
zdvořilý,polite,,
příležitost,opportunity,,
politický,political,,
zamýšlet,mean,,
oponovat,oppose,,
kempování,camping,,
talent,talent,,
naproti,opposite,,
původní,original,,
břeh řeky,bank,,
schopnost,ability,,
cent,cent,,
význam,meaning,,
dětské hřiště,playground,,
sebe,ourselves,,
hravý,playful,,
realizovat,realise,,
psycholog,psychologist,,
chybějící,missing,,
"Řekl jsem, že jsem unavený",I said I was tired,90,88
"Řekl jsi, že jsi připravený",you said you were ready,90,88
"Řekl, že potřebuje pomoc",he said he needed help,90,88
"Řekla, že skončila",she said she had finished,90,88
"Řeklo se, že to funguje",it was said that it worked,90,88
"Řekli jsme, že odcházíme",we said we were leaving,90,88
"Řekli jste, že přijdete",you said you would come,90,88
"Řekli, že to viděli",they said they had seen it,90,88
"Řekl jsem, že jsem včera pracoval doma.",I said I had worked from home the day before.,,89
"Řekl jsi, že jsi už četl ten e-mail.",You said you had already read the email.,,89
"On řekl, že zítra přijde později.",He said he would come later the next day.,,89
"Ona řekla, že dokončila projekt.",She said she had finished the project.,,89
"Řeklo se, že se obchod brzy otevře.",It was said that the shop would open soon.,,89
"Řekli jsme, že počkáme venku.",We said we would wait outside.,,89
"Řekli jste, že jste viděli nehodu.",You said you had seen the accident.,,89
"Řekli, že přijedou v pondělí.",They said they would arrive on Monday.,,89
