czech,english,grammar_id
nájemné,rent,
rám,frame,
prst na noze,toe,
autor,author,
povolení,permit,
povolení,permission,
toast,toast,
křeslo,armchair,
dnes,nowadays,
titul,title,
nejistý,uncertain,
balit,pack,
balíček,pack,
dálnice,motorway,
osobnost,personality,
Pacifik,pacific,
nepříjemný,uncomfortable,
tip,tip,
předpovědět,predict,
předpověď,prediction,
atom,atom,
rozsah,range,
jízdní řád,timetable,
většinou,mostly,
čerpací stanice,petrol station,
inzerovat,advertise,
inzerát,advertisement,
až do,till,
vlastně,actually,
pozadí,background,
invalidní vozík,wheelchair,
plocha,area,
vražda,murder,
pokročilý,advanced,
pláštěnka,raincoat,
zubní kartáček,toothbrush,
pepř,pepper,
dobře známý,well-known,
bolest zubů,toothache,
džbánek,mug,
"Neviděl jsem ten film.","I hadn't seen the movie.",55
"On neztratil klíče.","He hadn't lost his keys.",55
"Ještě jsme nezačali.","We hadn't started yet.",55
"Oni nekoupili nový dům.","They hadn't bought a new house.",55
"Nečetl jsi tu knihu.","You hadn't read the book.",55
"Ona nenapsala dopis.","She hadn't written a letter.",55
"Nebyl jsem v Londýně.","I hadn't been to London.",55
"Nejedl jsem snídani.","I hadn't eaten breakfast.",55
