czech,english,block_id,grammar_chunk_id
web,web,,
webová stránka,web page,,
provoz,traffic,,
semafor,traffic light,,
webové stránky,website,,
tradice,tradition,,
tradiční,traditional,,
svatba,wedding,,
tajemství,mystery,,
tajemný,mysterious,,
automaticky,automatically,,
já sám,myself,,
obec,village,,
dráha,track,,
neobvyklý,unusual,,
automatizovat,automate,,
automatický,automatic,,
všední den,weekday,,
dospělý,adult,,
týdně,weekly,,
plakat,weep,,
k,towards,,
turista,tourist,,
vážit,weigh,,
já jsem byl pozván,I was invited,84,81
ty jsi byl vybrán,you were chosen,84,81
on byl respektován,he was respected,84,81
ona byla informována,she was informed,84,81
ono bylo opraveno,it was repaired,84,81
my jsme byli požádáni,we were asked,84,81
vy jste byli placeni,you were paid,84,81
oni byli kontrolováni,they were checked,84,81
Včera jsem byl pozván na schůzku.,I was invited to a meeting yesterday.,,81
Byl jsi vybrán do týmu.,You were chosen for the team.,,81
On byl za svou práci respektován.,He was respected for his work.,,81
Ona byla o výsledku informována.,She was informed about the result.,,81
Auto bylo opraveno minulý týden.,It was repaired last week.,,81
Byli jsme požádáni o pomoc.,We were asked for help.,,81
Byli jste za práci zaplaceni.,You were paid for the work.,,81
Před koncertem byli všichni kontrolováni.,They were all checked before the concert.,,81
