czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
Já mohu počkat.,I can wait.,aɪ kæn wˈeɪt,i_can_wait.opus,24000,,,,34,False,24
Umíš lyžovat?,Can you ski?,kæn juː skˈiː,can_you_ski.opus,24001,,,,34,False,24
On umí opravit kolo.,He can fix a bike.,hiː kæn fˈɪks ɐ bˈaɪk,he_can_fix_a_bike.opus,24002,,,,34,False,24
Ona umí zpívat?,Can she sing?,kæn ʃiː sˈɪŋ,can_she_sing.opus,24003,,,,34,False,24
Nemůže to být pravda.,It can't be true.,ɪt kˈænt biː tɹˈuː,it_cant_be_true.opus,24004,,,,34,False,24
Oni neumějí tančit.,They can't dance.,ðeɪ kˈænt dˈæns,they_cant_dance.opus,24005,,,,34,False,24
Ty bys mohl zavolat později.,You could call later.,juː kʊd kˈɔːl lˈeɪɾɚ,you_could_call_later.opus,24006,,,,34,False,24
Mohl by on zůstat déle?,Could he stay longer?,kʊd hiː stˈeɪ lˈɔŋɡɚ,could_he_stay_longer.opus,24007,,,,34,False,24
On možná zůstane doma.,He may stay at home.,hiː mˈeɪ stˈeɪ æt hˈoʊm,he_may_stay_at_home.opus,24008,,,,34,False,24
Smí ona použít můj telefon?,May she use my phone?,mˈeɪ ʃiː jˈuːs maɪ fˈoʊn,may_she_use_my_phone.opus,24009,,,,34,False,24
Možná bude pršet.,It may rain.,ɪt mˈeɪ ɹˈeɪn,it_may_rain.opus,24010,,,,34,False,24
Smíme otevřít okno?,May we open the window?,mˈeɪ wiː ˈoʊpən ðə wˈɪndoʊ,may_we_open_the_window.opus,24011,,,,34,False,24
Ona možná zapomene.,She might forget.,ʃiː mˌaɪt fɚɡˈɛt,she_might_forget.opus,24012,,,,34,False,24
Mohlo by to trvat déle?,Might it take longer?,mˌaɪt ɪt tˈeɪk lˈɔŋɡɚ,might_it_take_longer.opus,24013,,,,34,False,24
To musí být omyl.,It must be a mistake.,ɪt mˈʌst biː ɐ mɪstˈeɪk,it_must_be_a_mistake.opus,24014,,,,34,False,24
Musíme to udělat dnes?,Must we do it today?,mˈʌst wiː dˈuː ɪt tədˈeɪ,must_we_do_it_today.opus,24015,,,,34,False,24
Ty tady nesmíš parkovat.,You mustn't park here.,juː mˈʌsənt pˈɑːɹk hˈɪɹ,you_mustnt_park_here.opus,24016,,,,34,False,24
Ona nesmí vstoupit.,She mustn't enter.,ʃiː mˈʌsənt ˈɛntɚ,she_mustnt_enter.opus,24017,,,,34,False,24
Měl bych cestovat.,I should travel.,aɪ ʃˌʊd tɹˈævəl,i_should_travel.opus,24018,,,,34,False,24
Měl bys zavolat rodičům?,Should you call your parents?,ʃˌʊd juː kˈɔːl jʊɹ pˈɛɹənts,should_you_call_your_parents.opus,24019,,,,34,False,24
Nemělo by to trvat dlouho.,It shouldn't take long.,ɪt ʃˌʊdənt tˈeɪk lˈɔŋ,it_shouldnt_take_long.opus,24020,,,,34,False,24
Měli bychom počkat?,Should we wait?,ʃˌʊd wiː wˈeɪt,should_we_wait.opus,24021,,,,34,False,24
Ty bys počkal.,You would wait.,juː wʊd wˈeɪt,you_would_wait.opus,24022,,,,34,False,24
Pomohl bys mi?,Would you help me?,wʊd juː hˈɛlp mˌiː,would_you_help_me.opus,24023,,,,34,False,24
Já bych neutekl.,I wouldn't run away.,aɪ wˈʊdənt ɹˈʌn ɐwˈeɪ,i_wouldnt_run_away.opus,24024,,,,34,False,24
Odešel bys?,Would you leave?,wʊd juː lˈiːv,would_you_leave.opus,24025,,,,34,False,24
