czech,english,grammar_id
zlomený,broken,
zvonek,bell,
motýl,butterfly,
nebudu,won't,
láhev,bottle,
rána,blow,
pryč,away,
miska,bowl,
mozek,brain,
štětec,brush,
hamburger,burger,
pláž,beach,
aktivita,activity,
fazole,bean,
tábor,camp,
kartáčovat,brush,
stadión,stadium,
přejít,cross,
práce,labour,
schodiště,stair,
kříž,cross,
levný,inexpensive,
kritizovat,criticise,
role (např. papíru),roll,
křupavý,crisp,
souprava,kit,
opékat,roast,
pár,couple,
naznačit,indicate,
klepání,knock,
haraburdí,junk,
plavba,cruise,
razítko,stamp,
juniorský,junior,
strategie,strategy
strava,diet,
koruna,crown,
poklop,cover,
nést,bear,
nedostatek,lack,
