czech,english,block_id,grammar_chunk_id,
vrátit se,return,,,
uložit,save,,,
moře,sea,,,
spolu,together,,,
armáda,army,,,
kryt,cover,,,
kultura,culture,,,
rozhodnutí,decision,,,
příklad,example,,,
cítit,feel,,,
ostrov,island,,,
člen,member,,,
další,next,,,
pozice,position,,,
současný,present,,,
záznam,record,,,
sladký,sweet,,,
zkusit,try,,,
policie,police,,,
svět,world,,,
chytit,catch,,,
roh,corner,,,
vzdálenost,distance,,,
vzdělání,education,,,
třináct,thirteen,20,12,
čtrnáct,fourteen,20,12,
patnáct,fifteen,20,12,
šestnáct,sixteen,20,12,
sedmnáct,seventeen,20,12,
osmnáct,eighteen,20,12,
devatenáct,nineteen,20,12,
dvacet,twenty,21,13,
třicet,thirty,21,13,
čtyřicet,forty,21,13,
padesát,fifty,21,13,
dvacet jedna,twenty-one,22,14,
dvacet dva,twenty-two,22,14,
sto patnáct,one hundred fifteen,22,14,
sto dvacet pět,one hundred twenty-five,22,14,
první,first,23,15,
druhý,second,23,15,
třetí,third,23,15,
čtvrtý,fourth,23,15,
pátý,fifth,23,15,
polovina,half,24,16,
třetina,third,24,16,
čtvrtina,quarter,24,16,
pětina,fifth,24,16,
šestina,sixth,24,16,
dvě sedminy,two sevenths,24,16,
tečka,point,25,17,
dvě celé osm,two point eight,25,17,
osm celých pět,eight point five,25,17,
nula celá dva,point two,25,17,
