czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
samec,male,mˈeɪl,male.opus,115000,,,,,True,115
láskyplně,lovingly,lˈʌvɪŋli,lovingly.opus,115001,,,,,True,115
mentálně,mentally,mˈɛntəli,mentally.opus,115002,,,,,True,115
zmínit,mention,mˈɛnʃən,mention.opus,115003,,,,,True,115
menší,minor,mˈaɪnɚ,minor.opus,115004,,,,,True,115
nezletilý,minor,mˈaɪnɚ,minor.opus,115005,,,,,True,115
menšina,minority,maɪnˈɔːɹᵻɾi,minority.opus,115006,,,,,True,115
kapalný,liquid,lˈɪkwɪd,liquid.opus,115007,,,,,True,115
kapalina,liquid,lˈɪkwɪd,liquid.opus,115008,,,,,True,115
báze,base,bˈeɪs,base.opus,115009,,,,,True,115
realita,reality,ɹɪˈælᵻɾi,reality.opus,115010,,,,,True,115
minimální,minimum,mˈɪnɪməm,minimum.opus,115011,,,,,True,115
minimalizovat,minimise,mˈɪnɪmˌaɪz,minimise.opus,115012,,,,,True,115
spolehlivý,reliable,ɹᵻlˈaɪəbəl,reliable.opus,115013,,,,,True,115
minerální,mineral,mˈɪnɚɹəl,mineral.opus,115014,,,,,True,115
plešatý,bald,bˈɔːld,bald.opus,115015,,,,,True,115
přeskupit,rearrange,ɹˌiːɚɹˈeɪndʒ,rearrange.opus,115016,,,,,True,115
uvolnění,release,ɹᵻlˈiːs,release.opus,115017,,,,,True,115
schvalovat,approve,ɐpɹˈuːv,approve.opus,115018,,,,,True,115
rozumné,reasonable,ɹˈiːzənəbəl,reasonable.opus,115019,,,,,True,115
literární,literary,lˈɪɾɚɹˌɛɹi,literary.opus,115020,,,,,True,115
literatura,literature,lˈɪɾɚɹᵻtʃɚ,literature.opus,115021,,,,,True,115
realistický,realistic,ɹiːəlˈɪstɪk,realistic.opus,115022,,,,,True,115
mínus,minus,mˈaɪnəs,minus.opus,115023,,,,,True,115
spojit,link,lˈɪŋk,link.opus,115024,,,,,True,115
odkaz,link,lˈɪŋk,link.opus,115025,,,,,True,115
spoléhat,rely,ɹᵻlˈaɪ,rely.opus,115026,,,,,True,115
lehce,lightly,lˈaɪtli,lightly.opus,115027,,,,,True,115
blesk,lightning,lˈaɪtnɪŋ,lightning.opus,115028,,,,,True,115
povodí,basin,bˈeɪsən,basin.opus,115029,,,,,True,115
bída,misery,mˈɪzɚɹi,misery.opus,115030,,,,,True,115
podoba,likeness,lˈaɪknəs,likeness.opus,115031,,,,,True,115
mizerný,miserable,mˈɪzɹəbəl,miserable.opus,115032,,,,,True,115
přibližný,approximate,ɐpɹˈɑːksɪmət,approximate.opus,115033,,,,,True,115
přibližně,approximately,ɐpɹˈɑːksɪmətli,approximately.opus,115034,,,,,True,115
relaxační,relaxing,ɹᵻlˈæksɪŋ,relaxing.opus,115035,,,,,True,115
náboženský,religious,ɹᵻlˈɪdʒəs,religious.opus,115036,,,,,True,115
limit,limit,lˈɪmɪt,limit.opus,115037,,,,,True,115
omezit,limit,lˈɪmɪt,limit.opus,115038,,,,,True,115
omezení,limitation,lˌɪmɪtˈeɪʃən,limitation.opus,115039,,,,,True,115
omezený,limited,lˈɪmɪɾᵻd,limited.opus,115040,,,,,True,115
kulhat,limp,lˈɪmp,limp.opus,115041,,,,,True,115
suterén,basement,bˈeɪsmənt,basement.opus,115042,,,,,True,115
zázrak,miracle,mˈɪɹəkəl,miracle.opus,115043,,,,,True,115
neplechu,mischief,mˈɪstʃɪf,mischief.opus,115044,,,,,True,115
míle,mile,mˈaɪl,mile.opus,115045,,,,,True,115
vztahovat,relate,ɹᵻlˈeɪt,relate.opus,115046,,,,,True,115
barman,barman,bˈɑːɹmən,barman.opus,115047,,,,,True,115
