czech,english,block_id,grammar_chunk_id,
poušť,desert,,,
drahý,expensive,,,
květina,flower,,,
kostel,church,,,
možné,possible,,,
nemožné,impossible,,,
opustit,leave,,,
plán,plan,,,
vrátit se,return,,,
uložit,save,,,
moře,sea,,,
spolu,together,,,
armáda,army,,,
kryt,cover,,,
kultura,culture,,,
rozhodnutí,decision,,,
příklad,example,,,
cítit,feel,,,
ostrov,island,,,
člen,member,,,
další,next,,,
pozice,position,,,
současný,present,,,
záznam,record,,,
sladký,sweet,,,
zkusit,try,,,
policie,police,,,
svět,world,,,
chytit,catch,,,
roh,corner,,,
vzdálenost,distance,,,
vzdělání,education,,,
zájem,interest,,,
část,part,,,
prezident,president,,,
kolo,round,,,
několik,several,,,
zvuk,sound,,,
příběh,story,,,
téměř,almost,,,
kočky,cats,10,8,
psy,dogs,10,8
domy,houses,10,8,
stoly,tables,10,8,
děti,children,10,8,
myši,mice,10,8,
muži,men,10,8,
ženy,women,10,8,
mnoho (nepočítatelných),much,11,8,
mnoho (počítatelných),many,11,8,
málo (nepočítatelných),little,11,8,
málo (počítatelných),few,11,8,
trochu (nepočítatelných),a little,11,8,
několik (počítatelných),a few,11,8,
mnoho vody,much water,12,8,
mnoho aut,many cars,12,8,
málo cukru,little sugar,12,8,
málo knih,few books,12,8,
trochu mléka,a little milk,12,8,
několik studentů,a few students,12,8,
