czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
skupina,group,ɡɹˈuːp,group.opus,14000,,,,,True,14
naděje,hope,hˈoʊp,hope.opus,14001,,,,,True,14
průmysl,industry,ˈɪndʌstɹi,industry.opus,14002,,,,,True,14
dívat se,look,lˈʊk,look.opus,14003,,,,,True,14
muset,must,mˈʌst,must.opus,14004,,,,,True,14
vlastní,own,ˈoʊn,own.opus,14005,,,,,True,14
osobní,personal,pˈɜːsənəl,personal.opus,14006,,,,,True,14
důvod,reason,ɹˈiːzən,reason.opus,14007,,,,,True,14
představit,imagine,ɪmˈædʒɪn,imagine.opus,14008,,,,,True,14
srdce,heart,hˈɑːɹt,heart.opus,14009,,,,,True,14
pole,field,fˈiːld,field.opus,14010,,,,,True,14
rozhodnout,decide,dᵻsˈaɪd,decide.opus,14011,,,,,True,14
šílený,crazy,kɹˈeɪzi,crazy.opus,14012,,,,,True,14
obvyklý,usual,jˈuːʒuːəl,usual.opus,14013,,,,,True,14
zatímco,while,wˈaɪl,while.opus,14014,,,,,True,14
před,ago,ɐɡˈoʊ,ago.opus,14015,,,,,True,14
podél,along,ɐlˈɔŋ,along.opus,14016,,,,,True,14
medvěd,bear,bˈɛɹ,bear.opus,14017,,,,,True,14
podmínka,condition,kəndˈɪʃən,condition.opus,14018,,,,,True,14
držet,hold,hˈoʊld,hold.opus,14019,,,,,True,14
okraj,edge,ˈɛdʒ,edge.opus,14020,,,,,True,14
jemný,fine,fˈaɪn,fine.opus,14021,,,,,True,14
zvýšit,increase,ˈɪŋkɹiːs,increase.opus,14022,,,,,True,14
časopis,magazine,mˌæɡɐzˈiːn,magazine.opus,14023,,,,,True,14
příroda,nature,nˈeɪtʃɚ,nature.opus,14024,,,,,True,14
talíř,plate,plˈeɪt,plate.opus,14025,,,,,True,14
jehož,whose,hˈuːz,whose.opus,14026,,,,,True,14
ostrý,sharp,ʃˈɑːɹp,sharp.opus,14027,,,,,True,14
někdy,sometimes,sˈʌmtaɪmz,sometimes.opus,14028,,,,,True,14
stále,still,stˈɪl,still.opus,14029,,,,,True,14
by,would,wˈʊd,would.opus,14030,,,,,True,14
přidat,add,ˈæd,add.opus,14031,,,,,True,14
mezi,among,ɐmˈʌŋ,among.opus,14032,,,,,True,14
postavený,built,bˈɪlt,built.opus,14033,,,,,True,14
běžný,common,kˈɑːmən,common.opus,14034,,,,,True,14
záviset,depend,dᵻpˈɛnd,depend.opus,14035,,,,,True,14
časný,early,ˈɜːli,early.opus,14036,,,,,True,14
letět,fly,flˈaɪ,fly.opus,14037,,,,,True,14
stát se,happen,hˈæpən,happen.opus,14038,,,,,True,14
zkontrolovat,check,tʃˈɛk,check.opus,14039,,,,,True,14
ráno,in the morning,ɪnðə mˈɔːɹnɪŋ,in_the_morning.opus,14040,24,,,20,False,14
odpoledne,in the afternoon,ɪnðɪ ˌæftɚnˈuːn,in_the_afternoon.opus,14041,24,,,20,False,14
večer,in the evening,ɪnðɪ ˈiːvnɪŋ,in_the_evening.opus,14042,24,,,20,False,14
v lednu,in January,ɪn dʒˈænjuːˌɛɹi,in_january.opus,14043,24,,,20,False,14
v létě,in summer,ɪn sˈʌmɚ,in_summer.opus,14044,24,,,20,False,14
v zimě,in winter,ɪn wˈɪntɚ,in_winter.opus,14045,24,,,20,False,14
v roce 2020,in 2020,ɪn tˈuː θˈaʊzənd twˈɛnti,in_2020.opus,14046,24,,,20,False,14
v 19. století,in the 19th century,ɪnðə nˈaɪntiːnθ sˈɛntʃɚɹi,in_the_19th_century.opus,14047,24,,,20,False,14
v pondělí,on Monday,ˌɔn mˈʌndeɪ,on_monday.opus,14048,25,,,21,False,14
v úterý,on Tuesday,ˌɔn tˈuːzdeɪ,on_tuesday.opus,14049,25,,,21,False,14
v pátek ráno,on Friday morning,ˌɔn fɹˈaɪdeɪ mˈɔːɹnɪŋ,on_friday_morning.opus,14050,25,,,21,False,14
1. ledna,on January 1st,ˌɔn dʒˈænjuːˌɛɹi fˈɜːst,on_january_1st.opus,14051,25,,,21,False,14
na moje narozeniny,on my birthday,ˌɔn maɪ bˈɜːθdeɪ,on_my_birthday.opus,14052,25,,,21,False,14
na Štědrý den,on Christmas Eve,ˌɔn kɹˈɪsməs ˈiːv,on_christmas_eve.opus,14053,25,,,21,False,14
o víkendu,on the weekend,ɔnðə wˈiːkɛnd,on_the_weekend.opus,14054,25,,,21,False,14
ve všední dny,on weekdays,ˌɔn wˈiːkdeɪz,on_weekdays.opus,14055,25,,,21,False,14
v 7 hodin,at seven o’clock,æt sˈɛvən əklˈɑːk,at_seven_oclock.opus,14056,26,,,22,False,14
v 8:30,at 8:30,æɾ ˈeɪt θˈɜːɾi,at_830.opus,14057,26,,,22,False,14
v poledne,at noon,æt nˈuːn,at_noon.opus,14058,26,,,22,False,14
o půlnoci,at midnight,æt mˈɪdnaɪt,at_midnight.opus,14059,26,,,22,False,14
v noci,at night,æt nˈaɪt,at_night.opus,14060,26,,,22,False,14
za úsvitu,at dawn,æt dˈɔːn,at_dawn.opus,14061,26,,,22,False,14
za soumraku,at dusk,æt dˈʌsk,at_dusk.opus,14062,26,,,22,False,14
v době oběda,at lunchtime,æt lˈʌntʃtaɪm,at_lunchtime.opus,14063,26,,,22,False,14
