czech,english,block_id,grammar_chunk_id
web,web,,
webová stránka,web page,,
provoz,traffic,,
semafor,traffic light,,
webové stránky,website,,
tradice,tradition,,
tradiční,traditional,,
svatba,wedding,,
tajemství,mystery,,
tajemný,mysterious,,
automaticky,automatically,,
já sám,myself,,
obec,village,,
dráha,track,,
neobvyklý,unusual,,
automatizovat,automate,,
automatický,automatic,,
všední den,weekday,,
dospělý,adult,,
týdně,weekly,,
plakat,weep,,
k,towards,,
turista,tourist,,
vážit,weigh,,

Já jsem byl včera pozván na oslavu.,I was invited to a party yesterday.,89,79
Ty jsi byl včera vybrán do týmu.,You were chosen for the team yesterday.,89,79
On byl respektován svými kolegy.,He was respected by his colleagues.,89,79
Ona byla informována o změně po poradě.,She was informed about the change after the meeting.,89,79
To bylo opraveno minulý týden.,It was repaired last week.,89,79
My jsme byli včera požádáni o pomoc.,We were asked for help yesterday.,89,79
Vy jste byli placeni každý pátek.,You were paid every Friday.,89,79
Oni byli kontrolováni u vchodu.,They were checked at the entrance.,89,79

