czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
jaký,what,wˈʌt,what.opus,13000,,,,,True,13
byli,were,wˈɜː,were.opus,13001,,,,,True,13
studna,well,wˈɛl,well.opus,13002,,,,,True,13
vítejte,welcome,wˈɛlkʌm,welcome.opus,13003,,,,,True,13
víkend,weekend,wˈiːkɛnd,weekend.opus,13004,,,,,True,13
toaleta,toilet,tˈɔɪlɪt,toilet.opus,13005,,,,,True,13
zoo,zoo,zˈuː,zoo.opus,13006,,,,,True,13
bomba,bomb,bˈɑːm,bomb.opus,13007,,,,,True,13
jogurt,yoghurt,jˈoʊɡɚt,yoghurt.opus,13008,,,,,True,13
ještě,yet,jˈɛt,yet.opus,13009,,,,,True,13
žlutý,yellow,jˈɛloʊ,yellow.opus,13010,,,,,True,13
yard,yard,jˈɑːɹd,yard.opus,13011,,,,,True,13
pokročit,advance,ɐdvˈæns,advance.opus,13012,,,,,True,13
spisovatel,writer,ɹˈaɪɾɚ,writer.opus,13013,,,,,True,13
by dělal,would,wˈʊd,would.opus,13014,,,,,True,13
starost,worry,wˈʌɹi,worry.opus,13015,,,,,True,13
pracovník,worker,wˈɜːkɚ,worker.opus,13016,,,,,True,13
úžasné,wonderful,wˈʌndɚfəl,wonderful.opus,13017,,,,,True,13
deštník,umbrella,ʌmbɹˈɛlə,umbrella.opus,13018,,,,,True,13
škaredý,ugly,ˈʌɡli,ugly.opus,13019,,,,,True,13
televize,TV,tˌiːvˈiː,tv.opus,13020,,,,,True,13
zatočit,turn,tˈɜːn,turn.opus,13021,,,,,True,13
obrat,turn,tˈɜːn,turn.opus,13022,,,,,True,13
krocan,turkey,tˈɜːki,turkey.opus,13023,,,,,True,13
roura,tube,tˈuːb,tube.opus,13024,,,,,True,13
pokus,try,tɹˈaɪ,try.opus,13025,,,,,True,13
věrný,true,tɹˈuː,true.opus,13026,,,,,True,13
veřejný,public,pˈʌblɪk,public.opus,13027,,,,,True,13
obdržet,receive,ɹᵻsˈiːv,receive.opus,13028,,,,,True,13
nákladní auto,truck,tɹˈʌk,truck.opus,13029,,,,,True,13
pak,then,ðˈɛn,then.opus,13030,,,,,True,13
také,too,tˈuː,too.opus,13031,,,,,True,13
způsob,way,wˈeɪ,way.opus,13032,,,,,True,13
napříč,across,əkɹˈɑːs,across.opus,13033,,,,,True,13
umění,art,ˈɑːɹt,art.opus,13034,,,,,True,13
přinést,bring,bɹˈɪŋ,bring.opus,13035,,,,,True,13
nést,carry,kˈæɹi,carry.opus,13036,,,,,True,13
potvrdit,confirm,kənfˈɜːm,confirm.opus,13037,,,,,True,13
zemřít,die,dˈaɪ,die.opus,13038,,,,,True,13
východ,east,ˈiːst,east.opus,13039,,,,,True,13
deset hodin dopoledne,ten AM,tˈɛn æm,ten_am.opus,13040,22,,,18,False,13
pět hodin odpoledne,five PM,fˈaɪv pˌiːˈɛm,five_pm.opus,13041,22,,,18,False,13
deset hodin,ten o'clock,tˈɛn əklˈɑːk,ten_oclock.opus,13042,22,,,18,False,13
osm hodin 10 minut,eight ten,ˈeɪt tˈɛn,eight_ten.opus,13043,22,,,18,False,13
třetího února,February 3rd,fˈɛbɹuːˌɛɹi θˈɜːd,february_3rd.opus,13044,23,,,19,False,13
dvacátého osmého března,March 28th,mˈɑːɹtʃ twˈɛnti ˈeɪtθ,march_28th.opus,13045,23,,,19,False,13
prvního ledna 2026,January 1st 2026,dʒˈænjuːˌɛɹi fˈɜːst tˈuː θˈaʊzənd twˈɛnti sˈɪks,january_1st_2026.opus,13046,23,,,19,False,13
patnáctého března 1975,March 15th 1975,mˈɑːɹtʃ fˈɪftiːnθ nˈaɪntiːnhˈʌndɹɪd sˈɛvənti fˈaɪv,march_15th_1975.opus,13047,23,,,19,False,13
