id,name,note,sort_order
19,PS - zápor,,19
20,PS - zjišťovací otázky,,20
21,PS - tázací otázky,,21
22,Stupňování,,22
23,Rozkazovací způsob,,23
24,Modální slovesa,,24
25,Návrhy,,25
26,PC - Přítomný čas průběhový,"""Přítomný čas průběhový"" se v angličtině nazývá ""Present Continuous"" se zkratkou ""PC"".",26
27,PC - zápor,,27
28,PC - zjišťovací otázky,,28
29,PC - tázací otázky,,29
30,PaS - be - Minulý čas prostý,"""Minulý čas prostý slovesa být"" se v angličtině označuje ""Past Simple - be"" se zkratkou ""PaS - be"".",30
31,PaS - be - zápor,,31
32,PaS - be - zjišťovací otázky,,32
33,PaS - be - tázací otázky,,33
34,PaS - Minulý čas prostý,"""Minulý čas prostý"" se v angličtině nazývá ""Past Simple"" se zkratkou ""PaS"".",34
35,PaS - zápor,,35
36,PaS - zjišťovací otázky,,36
37,PaS - tázací otázky,,37
38,FS - will - Budoucí čas s will,"""Budoucí čas prostý s will"" se v angličtině označuje ""FS - will"".",38
39,FS - will - zápor,,39
40,FS - will - zjišťovací otázky,,40
41,FS - will - tázací otázky,,41
42,FS - be going to - Budoucí čas s be going to,"""Budoucí čas prostý s be going to"" se v angličtině označuje ""FS - be going to"".",42
43,FS - be going to - zápor,,43
44,FS - be going to - zjišťovací otázky,,44
45,FS - be going to - tázací otázky,,45
46,Nultá podmínka,"""Nultá podmínka"" se v angličtině nazývá ""Zero Conditional"".",46
47,První podmínka,"""První podmínka"" se v angličtině nazývá ""First Conditional"".",47
48,Druhá podmínka,"""Druhá podmínka"" se v angličtině nazývá ""Second Conditional"".",48
49,PP - Předpřítomný čas,"""Předpřítomný čas"" se v angličtině nazývá ""Present Perfect"" se zkratkou ""PP"".",49
50,PP - zápor,,50
51,PP - zjišťovací otázky,,51
52,PP - tázací otázky,,52
53,PPC - Předpřítomný čas průběhový,"""Předpřítomný čas průběhový"" se v angličtině nazývá ""Present Perfect Continuous"" se zkratkou ""PPC"".",53
54,PPC - zápor,,54
55,PPC - zjišťovací otázky,,55
56,PPC - tázací otázky,,56
57,PaP - Předminulý čas,"""Předminulý čas"" se v angličtině nazývá ""Past Perfect"" se zkratkou ""PaP"".",57
58,PaP - zápor,,58
59,PaP - zjišťovací otázky,,59
60,PaP - tázací otázky,,60
61,FC - Budoucí čas průběhový,"""Budoucí čas průběhový"" se v angličtině nazývá ""Future Continuous"" se zkratkou ""FC"".",61
62,FC - zápor,,62
63,FC - zjišťovací otázky,,63
64,FC - tázací otázky,,64
65,Třetí podmínka,"""Třetí podmínka"" se v angličtině nazývá ""Third Conditional"".",65
66,Trpný rod - přítomnost,,66
67,Trpný rod - minulost,,67
68,Trpný rod - předpřítomný čas,,68
69,Trpný rod - budoucnost,,69
70,Trpný rod - přítomný průběhový čas,,70
71,Vztažné věty,,71
72,Tázací dovětky,,72
73,Nepřímá řeč,,73
74,Used to - dříve,,74
