czech,english,block_id,grammar_chunk_id
zejména,especially,,
limonáda,soda,,
udeřit,hit,,
hokej,hockey,,
východ,east,,
snadno,easily,,
ctižádost,ambition,,
za,beyond,,
zemětřesení,earthquake,,
náušnice,earring,,
už,anymore,,
měřítko,scale,,
zlepšit se,better,,
klobása,sausage,,
med,honey,,
čest,honour,,
omáčka,sauce,,
uspokojit,satisfy,,
nevěsta,bride,,
vánek,breeze,,
jednoho dne,someday,,
hiphop,hiphop,,
nealkoholický nápoj,soft drink,,
měkce,softly,,

"Já jsem ještě neodešel, když zavolala.","I hadn't left yet when she called.",80,70
"Ty jsi ještě neskončil, když začalo pršet.","You hadn't finished yet when it started raining.",80,70
"On ještě nejedl, když jsme dorazili.","He hadn't eaten yet when we arrived.",80,70
"Ona ještě nepřijela, když schůzka začala.","She hadn't arrived yet when the meeting started.",80,70
"To se ještě nerozbilo, když jsme to zkontrolovali.","It hadn't broken yet when we checked it.",80,70
My jsme do té doby nezapomněli heslo.,We hadn't forgotten the password by then.,80,70
"Vy jste ten film neviděli, než jsme se setkali.",You hadn't seen the movie before we met.,80,70
"Oni ještě neodešli, když jsme dorazili.","They hadn't left yet when we arrived.",80,70

