czech,english,block_id,grammar_chunk_id
opékat,roast,,
pár,couple,,
naznačit,indicate,,
klepání,knock,,
haraburdí,junk,,
plavba,cruise,,
razítko,stamp,,
juniorský,junior,,
strategie,strategy,,
strava,diet,,
koruna,crown,,
poklop,cover,,
zemřít,die,,
nést,bear,,
nedostatek,lack,,
přeplněný,crowded,,
kilometr,kilometre,,
řetězec,string,,
pevnost,strength,,
znalost,knowledge,,
tvůrčí,creative,,
nezávislost,independence,,
deník,diary,,
vytvořit,create,,
já byl,I was,52,42
ty jsi byl,you were,52,42
on byl,he was,52,42
ona byla,she was,52,42
ono bylo,it was,52,42
my jsme byli,we were,52,42
vy jste byli,you were,52,42
oni byli,they were,52,42
Včera jsem byl připravený začít lekci.,I was ready to start the lesson yesterday.,,42
Po práci jsi byl unavený.,You were tired after work.,,42
On byl doma se svým bratrem.,He was at home with his brother.,,42
Ona byla šťastná kvůli výsledku.,She was happy about the result.,,42
Včera bylo venku opravdu chladno.,It was really cold outside yesterday.,,42
Na schůzku jsme přišli pozdě.,We were late for the meeting.,,42
Minulý týden jste byli velmi zaneprázdnění.,You were very busy last week.,,42
Byli venku před restaurací.,They were outside the restaurant.,,42
