czech,english,grammar_id
sekvence,sequence,
nadaný,gifted,
chichotat se,giggle,
zázvor,ginger,
žirafa,giraffe,
zrudnout,blush,
nalodit se,board,
pocit,sensation,
příchod,arrival,
příjemně,pleasantly,
ostuda,shame,
přívětivost,friendliness,
mít,possess,
mělký,shallow,
zdvořile,politely,
majetek,possession,
přivlastňovací,possessive,
politika,policy,
směle,boldly,
pól,pole,
mráz,frost,
zmrazené,frozen,
možnost,possibility,
odvážné,bold,
politik,politician,
jedovatý,poisonous,
znečišťující látka,pollutant,
tvarovar,shape,
bombardovat,bomb,
popcorn,popcorn,
šipka,arrow,
hanebný,shameful,
svobodně,freely,
mrazák,freezer,
rybník,pond,
zmrazení,freezing,
pozitivní,positive,
časté,frequent,
frekvence,frequency,
prvňáček,freshman,
"Dům je právě malován.","The house is being painted.",67
"Dopis je doručován.","The letter is being delivered.",67
"Auto je opravováno v tuto chvíli.","The car is being repaired right now.",67
"Oběd je právě podáván.","Lunch is being served.",67
"Angličtina je právě vyučována.","English is being taught.",67
"Okna jsou právě myta.","The windows are being cleaned.",67
"Testy jsou právě kontrolovány.","The tests are being checked.",67
"Knihy jsou právě půjčovány.","Books are being borrowed.",67
