czech,english,block_id,grammar_chunk_id
ohrožený,endangered,,
mýdlo,soap,,
sluchátka,headphone,,
ředitel školy,headteacher,,
podporovat,encourage,,
školák,schoolchild,,
vědecký,scientific,,
prázdný,empty,,
vytápět,heat,,
teplo,heat,,
topení,heating,,
vynořit se,emerge,,
stav nouze,emergency,,
těžce,heavily,,
trapný,embarrassing,,
rozpis,schedule,,
e-mail,email,,
jinde,elsewhere,,
ponožka,sock,,
užitečný,helpful,,
povýšit,elevate,,
výtah,elevator,,
nenávist,hate,,
obrovský,enormous,,

Na čem poslední dobou pracuji?,What have I been working on lately?,78,68
Co poslední dobou čteš?,What have you been reading lately?,78,68
Na koho on čeká od rána?,Who has he been waiting for since this morning?,78,68
Kde ona poslední dobou běhá?,Where has she been running lately?,78,68
Jak dlouho už prší?,How long has it been raining?,78,68
Co my poslední dobou studujeme?,What have we been studying lately?,78,68
Kam vy poslední dobou cestujete?,Where have you been travelling lately?,78,68
Co oni poslední dobou hrají?,What have they been playing lately?,78,68

