czech,english,block_id,grammar_chunk_id
kontaktovat,contact,,
kontakt,contact,,
přivlastnit si,appropriate,,
baterie,battery,,
opravit,repair,,
nejméně,least,,
kůže,leather,,
náhlý,sudden,,
uspět,succeed,,
pohodlí,convenience,,
výzkum,research,,
svítilna,lamp,,
studie,study,,
povolit,allow,,
věc,stuff,,
krajina,landscape,,
styl,style,,
pruh,lane,,
hořet,burn,,
pohřbít,bury,,
sporák,cooker,,
autobusové nádraží,bus station,,
nejnovější,latest,,
zastupovat,represent,,

Zavoláš mi zítra?,Will you call me tomorrow?,62,52
Přijde dnes večer?,Will he come tonight?,62,52
Pomůžeš mi?,Will you help me?,62,52
Začne film brzy?,Will the film start soon?,62,52
Spadne to?,Will it fall?,62,52
Budeme mít dost času?,Will we have enough time?,62,52
Vyhrajete?,Will you win?,62,52
Dorazí včas?,Will they arrive on time?,62,52
