czech,english,grammar_id
někdo,anybody,
zadní,back,
podpořit,back,
sušenka,biscuit,
narozeniny,birthday,
očernit,black,
kdokoliv,anyone,
bojí se,afraid,
hovězí,beef,
jediný,alone,
včela,bee,
kolo,bicycle,
tlačítko,button,
celý,all,
v pořádku,all right,
prázdný,blank,
přibližně,around,
kolo,bike,
nakoupit,buy,
vědro,bucket,
kost,bone,
jakmile,as,
tyč,bar,
dort,cake,
pod,below,
letoun,aeroplane,
může,can,
bonbón,candy,
skladovat,store,
knihkupectví,bookstore,
kapela,band,
probudit,awake,
volání,call,
více než,above,
výše,above,
okolo,about,
nudný,boring,
podle,by,
sbohem,bye,
požádat,ask,
Půjdu domů.,I'll go home.,35
Půjdeš do školy.,You'll go to school.,35
On to udělá.,He'll do it.,35
Ona přijde.,She'll come.,35
Ono to zvládne.,It'll manage.,35
Půjdeme ven.,We'll go out.,35
Půjdete nakupovat.,You'll go shopping.,35
Oni přijedou.,They'll arrive.,35
