czech,english,grammar_chunk_id,block_id,note_id
vše,all,,,
a,and,,,
chlapec,boy,,,
konec,end,,,
rodina,family,,,
brzy,soon,,,
lidé,people,,,
mluvit,speak,,,
zeptat se,ask,,,
učit se,learn,,,
otázka,question,,,
říci,say,,,
začít,start,,,
slovo,word,,,
o,about,,,
dívka,girl,,,
problém,problem,,,
stejný,same,,,
vidět,see,,,
poslat,send,,,
jako,as,,,
lékař,doctor,,,
najít,find,,,
hra,game,,,
já nejsem,I am not,3,9,
ty nejsi,you are not,3,9,
on není,he is not,3,9,
ona není,she is not,3,9,
to není,it is not,3,9,
my nejsme,we are not,3,9,
vy nejste,you are not,3,9,
oni nejsou,they are not,3,9,
já nejsem (zk.),I'm not,4,10,
ty nejsi (zk.),you aren't,4,10,
on není (zk.),he isn't,4,10,
ona není (zk.),she isn't,4,10,
to není (zk.),it isn't,4,10,
my nejsme (zk.),we aren't,4,10,
vy nejste (zk.),you aren't,4,10,
oni nejsou (zk.),they aren't,4,10,
Já nejsem šťastný.,I'm not happy.,4,,
Ty nejsi smutný.,You aren't sad.,4,,
On není velký.,He isn't big.,4,,
Ona není malá.,She isn't small.,4,,
To není špatné.,It isn't bad.,4,,
My nejsme mladí.,We aren't young.,4,,
Vy nejste staří.,You aren't old.,4,,
Oni nejsou vysocí.,They aren't tall.,4,,
