czech,english,block_id,grammar_chunk_id
servírka,waitress,,
hlasování,vote,,
volejbal,volleyball,,
návštívit,visit,,
návštěva,visit,,
video,video,,
zeleniny,vegetable,,
váza,vase,,
dovolená,vacation,,
nás,us,,
vyřešit,solve,,
pohovka,sofa,,
sociální,social,,
piknik,picnic,,
vybrat,pick,,
klavír,piano,,
fotografie,photo,,
mazlíček,pet,,
období,period,,
prase,pig,,
platba,pay,,
večírek,party,,
partner,partner,,
pardon,pardon,,
Kde bydlím?,Where do I live?,38,30
Co čteš?,What do you read?,38,30
Kdy pracuje?,When does he work?,38,30
Proč vaří?,Why does she cook?,38,30
Jak to funguje?,How does it work?,38,30
Kam cestujeme?,Where do we travel?,38,30
Co potřebujete?,What do you need?,38,30
Kdy hrají?,When do they play?,38,30
