czech,english,block_id,grammar_chunk_id,
ovládat,control,,,
milý,dear,,,
šéf,chief,,,
pozvat,invite,,,
pozdní,late,,,
většina,most,,,
pouze,only,,,
produkt,product,,,
služba,service,,,
měl by,shall,,,
zůstat,stay,,,
manželka,wife,,,
daleko,away,,,
péče,care,,,
náklady,cost,,,
hluboký,deep,,,
dost,enough,,,
bojovat,fight,,,
garáž,garage,,,
hvězda,star,,,
ponechat,keep,,,
chybět,miss,,,
žádost,request,,
sezóna,season,,
nemocný,sick,,
vítat,welcome,,
souhlasit,agree,,
most,bridge,,
dort,cake,,
jiný,other,,,
hráč,player,,,
spíše,rather,,,
zůstat,remain,,,
strana,side,,,
jih,south,,,
pravda,true,,,
použít,use,,,
již,already,,,
stát se,become,,,
způsobit,cause,,,
můj,my,13,9,
tvůj,your,13,9,
jeho (on),his,13,9,
její,her,13,9,
jeho (ono),its,13,9,
náš,our,13,9,
váš,your,13,9,
jejich,their,13,9,
Tomovo,Tom's,14,10,
Annina,Anna's,14,10,
lidí,people's,14,10,
studentů,students',14,10,
můj otec,my father,,9,
tvůj bratr,your brother,,9,
jeho sestra,his sister,,9,
její auto,her car,,9,
naše škola,our school,,9,
vaše kniha,your book,,9,
jejich dům,their house,,9,
Tomův pes,Tom's dog,,10,
Annina kočka,Anna's cat,,10,
