czech,english,block_id,grammar_chunk_id
vzhled,appearance,,
zklamáním,disappointing,,
palec,inch,,
dinosaurus,dinosaur,,
hnědnout,brown,,
ačkoli,although,,
zvýšení,increase,,
čtverec,square,,
digitální fotoaparát,digital camera,,
romantika,romance,,
romantický,romantic,,
hrůza,horror,,
běžec,runner,,
rozlít,spill,,
představivost,imagination,,
pověst,rumour,,
displej,display,,
šplouchat,splash,,
podíl,split,,
zřejmě,apparently,,
dopad,impact,,
nechuť,dislike,,
trpělivý,patient,,
netrpělivý,impatient,,
já nespím,I haven't been sleeping,71,68
ty nečteš,you haven't been reading,71,68
on nečeká,he hasn't been waiting,71,68
ona neběhá,she hasn't been running,71,68
ono neprší,it hasn't been raining,71,68
my se neučíme,we haven't been studying,71,68
vy necestujete,you haven't been travelling,71,68
oni nehrají,they haven't been playing,71,68
Už několik nocí pořádně nespím.,I haven't been sleeping well for several nights.,,68
Dnes ráno nečteš zprávy.,You haven't been reading the news this morning.,,68
On na autobus dlouho nečeká.,He hasn't been waiting for the bus for long.,,68
Ona tento měsíc neběhá venku.,She hasn't been running outside this month.,,68
Od rána neprší.,It hasn't been raining since morning.,,68
Tento týden se neučíme dost.,We haven't been studying enough this week.,,68
Necestujete letos tak často.,You haven't been travelling as often this year.,,68
Od včerejška nehrají spolu.,They haven't been playing together since yesterday.,,68
