czech,english,grammar_id
zmatený,confused,
kufr,suitcase,
limonáda,lemonade,
půjčovat,lend,
sebevědomý,confident,
shrnutí,summary,
naživu,alive,
dávka,batch,
stav,condition,
úroveň,level,
slunečnice,sunflower,
sluneční brýle,sunglasses,
levá ruka,left-hand,
obtížnost,difficulty,
gram,gramme,
blondýnka,blonde,
rozzlobeně,angrily,
vnouče,grandchild,
dědeček,granddad,
velmi,extremely,
obývací pokoj,sitting room,
navíc,extra,
zdát,seem,
anděl,angel,
babička,granny,
starověké,ancient,
brusle,skate,
hledat,seek,
rychlík,express,
semínko,seed,
skateboarding,skateboarding,
prozkoumat,explore,
vděčný,grateful,
bruslení,skating,
dřez,sink,
jednotného čísla,singular,
absolvovat,graduate,
móda,fashion,
fascinovat,fascinate,
fascinující,fascinating,
"Pokud bude pršet, zůstanu doma.","If it rains, I will stay at home.",44
"Když přijdeš včas, půjdeme do kina.","If you come on time, we will go to the cinema.",44
"Pokud budu mít čas, pomůžu ti.","If I have time, I will help you.",44
"Když budeš studovat, uděláš zkoušku.","If you study, you will pass the exam.",44
"Pokud bude sněžit, vezmu si kabát.","If it snows, I will take a coat.",44
"Když mi zavoláš, odpovím.","If you call me, I will answer.",44
"Pokud budeš jíst zeleninu, budeš zdravý.","If you eat vegetables, you will be healthy.",44
"Když najdu tvé klíče, dám ti vědět.","If I find your keys, I will let you know.",44
