name,note,sort_order,grammar_group_id
tvorba záporu,"<p>V přítomném čase prostém tvoříme zápor pomocí <b>do not</b> nebo <b>does not</b> a základního tvaru slovesa.</p><p><b>Does not</b> používáme pro he, she a it. Významové sloveso potom nemá koncovku -s: <b>He does not work.</b></p><p>Běžné zkrácené tvary jsou <b>don't</b> a <b>doesn't</b>.</p>",27,19
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme pomocí <b>Do / Does + podmět + základní tvar slovesa</b>.</p><p><b>Does</b> používáme pro he, she a it: <b>Does she work?</b></p><p>Krátké odpovědi mají tvar <b>Yes, I do.</b> nebo <b>No, I don't.</b></p>",28,20
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + do / does + podmět + základní tvar slovesa</b>.</p><p>Například: <b>Where do you live?</b> nebo <b>What does he want?</b></p><p>Pokud je tázací výraz podmětem, pomocné do se nepoužívá: <b>Who lives here?</b></p>",29,21
druhý stupeň,"<p>Druhý stupeň porovnává dvě věci. Krátká přídavná jména obvykle dostávají koncovku <b>-er</b> a dlouhá používají <b>more</b>.</p><p>Porovnávanou věc často připojujeme pomocí <b>than</b>: <b>older than</b>, <b>more interesting than</b>.</p>",30,22
třetí stupeň,"<p>Třetí stupeň vyjadřuje nejvyšší míru vlastnosti ve skupině. Krátká přídavná jména obvykle dostávají <b>-est</b> a dlouhá používají <b>most</b>.</p><p>Před třetím stupněm zpravidla stojí člen <b>the</b>: <b>the oldest</b>, <b>the most interesting</b>.</p>",31,22
nepravidelné tvary,"<p>Některá přídavná jména se stupňují nepravidelně.</p><p><b>good – better – the best</b>, <b>bad – worse – the worst</b>, <b>far – farther/further – the farthest/furthest</b>.</p>",32,22
rozkaz a zákaz,"<p>Rozkaz tvoříme základním tvarem slovesa bez podmětu: <b>Open the door.</b></p><p>Zákaz tvoříme pomocí <b>Don't + základní tvar slovesa</b>: <b>Don't open the door.</b></p><p>Zdvořilejší pokyn může obsahovat <b>please</b>.</p>",33,23
modální slovesa,"<p>Modální slovesa jako <b>can, must, should</b> a <b>may</b> vyjadřují schopnost, nutnost, doporučení nebo možnost.</p><p>Po modálním slovese stojí základní tvar bez <b>to</b>. Ve třetí osobě se nepřidává -s.</p><p>Zápor tvoříme přidáním <b>not</b> a otázku obrácením pořadí modálního slovesa a podmětu.</p>",34,24
let's,"<p>Návrh společné činnosti tvoříme pomocí <b>Let's + základní tvar slovesa</b>: <b>Let's go home.</b></p><p>Záporný návrh má tvar <b>Let's not + sloveso</b>.</p>",35,25
shall we,"<p>Zdvořilý návrh nebo nabídku můžeme vytvořit pomocí <b>Shall we + základní tvar slovesa?</b></p><p>Například: <b>Shall we start?</b></p>",36,25
what about / how about,"<p>Návrh tvoří také vazby <b>What about</b> a <b>How about</b>.</p><p>Po nich obvykle následuje podstatné jméno nebo sloveso s koncovkou <b>-ing</b>: <b>How about going by bus?</b></p>",37,25
tvorba a použití,"<p>Přítomný čas průběhový tvoříme jako <b>am / is / are + sloveso-ing</b>.</p><p>Používáme ho hlavně pro děje probíhající právě teď a pro dočasné situace: <b>She is working now.</b></p>",38,26
tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za am, is nebo are: <b>She is not working.</b></p><p>Běžné zkrácené tvary jsou <b>isn't</b> a <b>aren't</b>. U první osoby se používá <b>I'm not</b>.</p>",39,27
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme obrácením pořadí slovesa být a podmětu: <b>Am / Is / Are + podmět + sloveso-ing?</b></p><p>Například: <b>Are they waiting?</b> Krátká odpověď je <b>Yes, they are.</b> nebo <b>No, they aren't.</b></p>",40,28
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + am / is / are + podmět + sloveso-ing</b>.</p><p>Například: <b>What are you doing?</b> nebo <b>Where is she going?</b></p>",41,29
základní tvary,"<p>Minulý čas slovesa být má dva tvary: <b>was</b> pro I, he, she a it a <b>were</b> pro you, we a they.</p><p>Například: <b>I was tired.</b> a <b>They were at home.</b></p>",42,30
tvorba záporu,"<p>Zápor tvoříme přidáním <b>not</b> za was nebo were: <b>was not</b>, <b>were not</b>.</p><p>Běžné zkrácené tvary jsou <b>wasn't</b> a <b>weren't</b>.</p>",43,31
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme obrácením pořadí was nebo were a podmětu: <b>Was / Were + podmět?</b></p><p>Například: <b>Were you tired?</b> Krátká odpověď je <b>Yes, I was.</b> nebo <b>No, I wasn't.</b></p>",44,32
tvorba tázacích otázek,"<p>Tázací otázku tvoříme jako <b>tázací výraz + was / were + podmět</b>.</p><p>Například: <b>Where were you yesterday?</b> nebo <b>Why was she late?</b></p>",45,33
pravidelná slovesa,"<p>U pravidelných sloves tvoříme minulý čas obvykle přidáním koncovky <b>-ed</b>: <b>work – worked</b>.</p><p>U sloves zakončených na -e přidáváme jen -d. Souhláska + y se mění na -ied a u některých krátkých sloves se zdvojuje koncová souhláska.</p>",46,34
nepravidelná slovesa,"<p>Nepravidelná slovesa netvoří minulý čas pomocí -ed a jejich tvary je nutné se naučit.</p><p>Například: <b>go – went</b>, <b>see – saw</b>, <b>have – had</b>.</p>",47,34
tvorba záporu,"<p>Zápor v minulém čase prostém tvoříme pomocí <b>did not + základní tvar slovesa</b>.</p><p>Například: <b>She did not go.</b> Běžný zkrácený tvar je <b>didn't</b>.</p>",48,35
tvorba zjišťovacích otázek,"<p>Zjišťovací otázku tvoříme jako <b>Did + podmět + základní tvar slovesa?</b></p><p>Například: <b>Did they arrive?</b> Krátká odpověď je <b>Yes, they did.</b> nebo <b>No, they didn't.</b></p>",49,36
