czech,english,block_id,grammar_chunk_id
stuha,ribbon,,
recenze,review,,
zpravodaj,reporter,,
nemovitý,real,,
připraveno,ready,,
čtenář,reader,,
krysa,rat,,
deštivý,rainy,,
králičí,rabbit,,
klid,quiet,,
rychle,quickly,,
zpochybňovat,question,,
čtvrtletí,quarter,,
čtení,reading,,
vydatný,rich,,
jízda,ride,,
jezdit,ride,,
vědec,scientist,,
pila,saw,,
sendvič,sandwich,,
prodej,sale,,
salát,salad,,
plachta,sail,,
námořník,sailor,,
Pojďme domů.,Let's go home.,45,35
Pojďme začít.,Let's start.,45,35
Pojďme počkat.,Let's wait.,45,35
Pojďme to zkusit.,Let's try it.,45,35
Neodcházejme.,Let's not leave.,45,35
Nečekejme.,Let's not wait.,45,35
Nezačínejme.,Let's not start.,45,35
Nedělejme hluk.,Let's not make noise.,45,35
Mám otevřít okno?,Shall I open the window?,46,36
Máme začít?,Shall we start?,46,36
Mám zavolat taxi?,Shall I call a taxi?,46,36
Počkáme tady?,Shall we wait here?,46,36
Mám udělat čaj?,Shall I make some tea?,46,36
Objednáme večeři?,Shall we order dinner?,46,36
Mám ti pomoct?,Shall I help you?,46,36
Půjdeme domů?,Shall we go home?,46,36
A co krátká pauza?,What about a short break?,47,37
A co objednat pizzu?,What about ordering pizza?,47,37
A co zítra?,What about tomorrow?,47,37
A co jet vlakem?,What about going by train?,47,37
Co takhle kávu?,How about some coffee?,47,37
Co takhle začít znovu?,How about starting again?,47,37
Co takhle film?,How about a film?,47,37
Co takhle zůstat doma?,How about staying home?,47,37
