czech,english,block_id,grammar_chunk_id
pár,few,,
plot,fence,,
žena,female,,
daný,given,,
samostatný,separate,,
poplatek,fee,,
postava,figure,,
umlčet,silence,,
peří,feather,,
tichý,silent,,
tiše,silently,,
hloupý,silly,,
strach,fear,,
zeměkoule,globe,,
chyba,fault,,
stříbrný,silver,,
senior,senior,,
funkce,feature,,
opravit,fix,,
kotník,ankle,,
rybář,fisherman,,
shot,shot,,
desková hra,board game,,
otravovat,annoy,,

Já jsem ještě neskončil.,I haven't finished yet.,72,62
Ty jsi ten film ještě neviděl.,You haven't seen the movie yet.,72,62
On své klíče zatím neztratil.,He hasn't lost his keys yet.,72,62
Ona se ještě nerozhodla.,She hasn't decided yet.,72,62
To se zatím nerozbilo.,It hasn't broken yet.,72,62
My jsme ještě nepřijeli.,We haven't arrived yet.,72,62
Vy jste tu adresu ještě nezapomněli.,You haven't forgotten the address yet.,72,62
Oni ještě nejedli.,They haven't eaten yet.,72,62

