czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
spisovatel,writer,ɹˈaɪɾɚ,writer.opus,20000,,,,,True,20
starost,worry,wˈʌɹi,worry.opus,20001,,,,,True,20
pracovník,worker,wˈɜːkɚ,worker.opus,20002,,,,,True,20
úžasné,wonderful,wˈʌndɚfəl,wonderful.opus,20003,,,,,True,20
deštník,umbrella,ʌmbɹˈɛlə,umbrella.opus,20004,,,,,True,20
škaredý,ugly,ˈʌɡli,ugly.opus,20005,,,,,True,20
televize,TV,tˌiːvˈiː,tv.opus,20006,,,,,True,20
zatočit,turn,tˈɜːn,turn.opus,20007,,,,,True,20
obrat,turn,tˈɜːn,turn.opus,20008,,,,,True,20
krocan,turkey,tˈɜːki,turkey.opus,20009,,,,,True,20
roura,tube,tˈuːb,tube.opus,20010,,,,,True,20
pokus,try,tɹˈaɪ,try.opus,20011,,,,,True,20
věrný,true,tɹˈuː,true.opus,20012,,,,,True,20
nákladní auto,truck,tɹˈʌk,truck.opus,20013,,,,,True,20
hračka,toy,tˈɔɪ,toy.opus,20014,,,,,True,20
věž,tower,tˈaʊɚ,tower.opus,20015,,,,,True,20
ručník,towel,tˈaʊəl,towel.opus,20016,,,,,True,20
podtrhnout,underline,ˌʌndɚlˈaɪn,underline.opus,20017,,,,,True,20
sledovat,watch,wˈɑːtʃ,watch.opus,20018,,,,,True,20
hodinky,watch,wˈɑːtʃ,watch.opus,20019,,,,,True,20
praní,wash,wˈɑːʃ,wash.opus,20020,,,,,True,20
teplo,warm,wˈɔːɹm,warm.opus,20021,,,,,True,20
probudit,wake,wˈeɪk,wake.opus,20022,,,,,True,20
číšník,waiter,wˈeɪɾɚ,waiter.opus,20023,,,,,True,20
Já jím často?,Do I eat often?,dˈuː aɪ ˈiːt ˈɔfən,do_i_eat_often.opus,20024,36,,,28,False,20
Čteš ty beletrii?,Do you read beletry?,dˈuː juː ɹˈiːd bᵻlˈɛtɹi,do_you_read_beletry.opus,20025,36,,,28,False,20
Běhá on každé ráno?,Does he run every morning?,dˈʌz hiː ɹˈʌn ˈɛvɹi mˈɔːɹnɪŋ,does_he_run_every_morning.opus,20026,36,,,28,False,20
Vaří ona snídani pokaždé?,Does she cook breakfast everytime?,dˈʌz ʃiː kˈʊk bɹˈɛkfəst ˈɛvɹɪtˌaɪm,does_she_cook_breakfast_everytime.opus,20027,36,,,28,False,20
Funguje to?,Does it work?,dˈʌz ɪt wˈɜːk,does_it_work.opus,20028,36,,,28,False,20
My zpíváme dobře?,Do we sing well?,dˈuː wiː sˈɪŋ wˈɛl,do_we_sing_well.opus,20029,36,,,28,False,20
Vy čekáte běžně?,Do you wait commonly?,dˈuː juː wˈeɪt kˈɑːmənli,do_you_wait_commonly.opus,20030,36,,,28,False,20
Oni cestují každý rok?,Do they travel every year?,dˈuː ðeɪ tɹˈævəl ˈɛvɹi jˈɪɹ,do_they_travel_every_year.opus,20031,36,,,28,False,20
"Ano, běhá.","Yes, he does.",jˈɛs hiː dˈʌz,yes_he_does.opus,20032,37,,,29,False,20
"Ne, nečteš.","No, you don't.",nˈoʊ juː dˈoʊnt,no_you_dont.opus,20033,37,,,29,False,20
"Ne, nevaří.","No, she doesn't.",nˈoʊ ʃiː dˈʌzənt,no_she_doesnt.opus,20034,37,,,29,False,20
Já jím doma?,Do I eat at home?,dˈuː aɪ ˈiːt æt hˈoʊm,do_i_eat_at_home.opus,20035,,,,28,False,20
Ty čteš knihy?,Do you read books?,dˈuː juː ɹˈiːd bˈʊks,do_you_read_books.opus,20036,,,,28,False,20
On řídí auto?,Does he drive a car?,dˈʌz hiː dɹˈaɪv ɐ kˈɑːɹ,does_he_drive_a_car.opus,20037,,,,28,False,20
Ona učí angličtinu?,Does she teach English?,dˈʌz ʃiː tˈiːtʃ ˈɪŋɡlɪʃ,does_she_teach_english.opus,20038,,,,28,False,20
Bolí to?,Does it hurt?,dˈʌz ɪt hˈɜːt,does_it_hurt.opus,20039,,,,28,False,20
My bydlíme tady?,Do we live here?,dˈuː wiː lˈɪv hˈɪɹ,do_we_live_here.opus,20040,,,,28,False,20
Vy potřebujete pomoc?),Do you need help?,dˈuː juː nˈiːd hˈɛlp,do_you_need_help.opus,20041,,,,28,False,20
Oni hrají fotbal?,Do they play football?,dˈuː ðeɪ plˈeɪ fˈʊtbɔːl,do_they_play_football.opus,20042,,,,28,False,20
