czech,english,block_id,grammar_chunk_id,note_id

kus,piece,,,
chránit,protect,,,
závod,race,,,
od,since,,,
úsměv,smile,,,
lístek,ticket,,
dobře,well,,,
nehoda,accident,,,
krev,blood,,,
obchod,business,,,
během,during,,,
dokonce,even,,,
podlaha,floor,,,
obecný,general,,,
vybrat,choose,,,
informovat,inform,,,
schůzka,meeting,,,
objednat,order,,,
strana,party,,,
odpovědět,reply,,,
cestovat,travel,,,
virus,virus,,,
sledovat,watch,,,
jiný,another,,,
věřit,believe,,,
oba,both,,,
bránit,defend,,,
vždy,ever,,,
mýt,wash,,,
zranit,hurt,,,
holit,shave,,,
zrcadlo,mirror,,,
