czech,english,block_id,grammar_chunk_id
radit,advise,,
interpunkce,punctuation,,
přijatelný,acceptable,,
přidání,addition,,
široký,wide,,
fyzikální,physical,,
fotografování,photography,,
fotograf,photographer,,
špatně,badly,,
záležitost,affair,,
hmotnost,weight,,
pochopit,understand,,
fotografie,photograph,,
sloveso,verb,,
nálada,mood,,
hrom,thunder,,
bouřka,thunderstorm,,
široce,widely,,
zvuk,audio,,
muzeum,museum,,
oznámení,notice,,
vytisknout,print,,
tiskárna,printer,,
těstoviny,pasta,,

Kdy budu zítra pracovat?,When will I be working tomorrow?,86,76
Kde budeš zítra řídit?,Where will you be driving tomorrow?,86,76
Kdy bude on během cesty spát?,When will he be sleeping during the trip?,86,76
Co bude ona studovat příští semestr?,What will she be studying next semester?,86,76
Kdy bude o víkendu pršet?,When will it be raining this weekend?,86,76
Kde budeme příští měsíc cestovat?,Where will we be travelling next month?,86,76
"Na koho budete čekat, až přijedete?",Who will you be waiting for when you arrive?,86,76
Co budou hrát na koncertě?,What will they be playing at the concert?,86,76
