czech,english,block_id,grammar_chunk_id
inzerát,advertisement,,
až do,till,,
zatímco,while,,
vlastně,actually,,
pozadí,background,,
invalidní vozík,wheelchair,,
plocha,area,,
vražda,murder,,
pokročit,advance,,
pokročilý,advanced,,
pláštěnka,raincoat,,
zubní kartáček,toothbrush,,
pepř,pepper,,
dobře známý,well-known,,
bolest zubů,toothache,,
džbánek,mug,,
podstatné jméno,noun,,
západ,west,,
pohled,view,,
tón,tone,,
videohra,video game,,
paní,Ms,,
perfektní,perfect,,
dokonale,perfectly,,

Zítra v osm budu pracovat.,I'll be working at eight tomorrow.,83,73
V šest budeš ještě řídit.,You'll still be driving at six.,83,73
"On bude spát, až dorazíme.",He'll be sleeping when we arrive.,83,73
Ona bude studovat zítra večer.,She'll be studying tomorrow evening.,83,73
Zítra touto dobou bude pršet.,It'll be raining at this time tomorrow.,83,73
V létě budeme cestovat po Evropě.,We'll be travelling around Europe this summer.,83,73
V osm budete čekat před hotelem.,You'll be waiting outside the hotel at eight.,83,73
"Oni budou hrát, až přijdeme.",They'll be playing when we arrive.,83,73
