czech,english,block_id,grammar_chunk_id
přídavné jméno,adjective,,
násilný,violent,,
raketa,racket,,
housle,violin,,
houba,mushroom,,
upravit,adjust,,
kamarád,pal,,
bohatství,wealth,,
tramvaj,tram,,
výcvik,training,,
proto,therefore,,
směs,mix,,
na rozdíl od,unlike,,
cibule,onion,,
množný,plural,,
plus,plus,,
balón,balloon,,
pošta,post office,,
online,online,,
umělý,artificial,,
patro,upstairs,,
meloun,melon,,
Pozor,attention,,
mrkev,carrot,,
já budu pozván,I'll be invited,86,83
ty budeš vybrán,you'll be chosen,86,83
on bude povýšen,he'll be promoted,86,83
ona bude informována,she'll be informed,86,83
ono bude opraveno,it'll be repaired,86,83
my budeme požádáni,we'll be asked,86,83
vy budete placeni,you'll be paid,86,83
oni budou kontrolováni,they'll be checked,86,83
Budu pozván na příští schůzku.,I'll be invited to the next meeting.,,83
Budeš vybrán do hlavního týmu.,You'll be chosen for the main team.,,83
On bude povýšen příští rok.,He'll be promoted next year.,,83
Ona bude o výsledku informována.,She'll be informed about the result.,,83
Auto bude opraveno do pátku.,It'll be repaired by Friday.,,83
Budeme požádáni o doklady.,We'll be asked for our documents.,,83
Za tuto práci budete zaplaceni.,You'll be paid for this work.,,83
Před vstupem budou kontrolováni.,They'll be checked before entry.,,83
